Value of CSI request field,Description
'00000',No aperiodic CSI report is triggered
'00001',"Aperiodic CSI report is triggered for a set of {CSI process, CSI-RS resource} configured by higher layers for serving cell"
'00010',"Aperiodic CSI report is triggered for a 1st set of {CSI process, CSI-RS resource} configured by higher layers"
'00011',"Aperiodic CSI report is triggered for a 2nd set of {CSI process, CSI-RS resource} configured by higher layers"
'00100',"Aperiodic CSI report is triggered for a 3rd set of {CSI process, CSI-RS resource} configured by higher layers"
'00101',"Aperiodic CSI report is triggered for a 4th set of {CSI process, CSI-RS resource} configured by higher layers"
'00110',"Aperiodic CSI report is triggered for a 5th set of {CSI process, CSI-RS resource} configured by higher layers"
'00111',"Aperiodic CSI report is triggered for a 6th set of {CSI process, CSI-RS resource} configured by higher layers"
'01000',"Aperiodic CSI report is triggered for a 7th set of {CSI process, CSI-RS resource} configured by higher layers"
'01001',"Aperiodic CSI report is triggered for a 8th set of {CSI process, CSI-RS resource} configured by higher layers"
'01010',"Aperiodic CSI report is triggered for a 9th set of {CSI process, CSI-RS resource} configured by higher layers"
'01011',"Aperiodic CSI report is triggered for a 10th set of {CSI process, CSI-RS resource} configured by higher layers"
'01100',"Aperiodic CSI report is triggered for a 11th set of {CSI process, CSI-RS resource} configured by higher layers"
'01101',"Aperiodic CSI report is triggered for a 12th set of {CSI process, CSI-RS resource} configured by higher layers"
'01110',"Aperiodic CSI report is triggered for a 13th set of {CSI process, CSI-RS resource} configured by higher layers"
'01111',"Aperiodic CSI report is triggered for a 14th set of {CSI process, CSI-RS resource} configured by higher layers"
'10000',"Aperiodic CSI report is triggered for a 15th set of {CSI process, CSI-RS resource} configured by higher layers"
'10001',"Aperiodic CSI report is triggered for a 16th set of {CSI process, CSI-RS resource} configured by higher layers"
'10010',"Aperiodic CSI report is triggered for a 17th set of {CSI process, CSI-RS resource} configured by higher layers"
'10011',"Aperiodic CSI report is triggered for a 18th set of {CSI process, CSI-RS resource} configured by higher layers"
'10100',"Aperiodic CSI report is triggered for a 19th set of {CSI process, CSI-RS resource} configured by higher layers"
'10101',"Aperiodic CSI report is triggered for a 20th set of {CSI process, CSI-RS resource} configured by higher layers"
'10110',"Aperiodic CSI report is triggered for a 21st set of {CSI process, CSI-RS resource} configured by higher layers"
'10111',"Aperiodic CSI report is triggered for a 22nd set of {CSI process, CSI-RS resource} configured by higher layers"
'11000',"Aperiodic CSI report is triggered for a 23rd set of {CSI process, CSI-RS resource} configured by higher layers"
'11001',"Aperiodic CSI report is triggered for a 24th set of {CSI process, CSI-RS resource} configured by higher layers"
'11010',"Aperiodic CSI report is triggered for a 25th set of {CSI process, CSI-RS resource} configured by higher layers"
'11011',"Aperiodic CSI report is triggered for a 26th set of {CSI process, CSI-RS resource} configured by higher layers"
'11100',"Aperiodic CSI report is triggered for a 27th set of {CSI process, CSI-RS resource} configured by higher layers"
'11101',"Aperiodic CSI report is triggered for a 28th set of {CSI process, CSI-RS resource} configured by higher layers"
'11110',"Aperiodic CSI report is triggered for a 29th set of {CSI process, CSI-RS resource} configured by higher layers"
'11111',"Aperiodic CSI report is triggered for a 30th set of {CSI process, CSI-RS resource} configured by higher layers"
