TBS_L1,TBS_L2,TBS_L1,TBS_L2,TBS_L1,TBS_L2,TBS_L1,TBS_L2
1544,3112,3752,7480,10296,20616,28336,57336
1608,3240,3880,7736,10680,21384,29296,59256
1672,3368,4008,7992,11064,22152,30576,61664
1736,3496,4136,8248,11448,22920,31704,63776
1800,3624,4264,8504,11832,23688,32856,66592
1864,3752,4392,8760,12216,24496,34008,68808
1928,3880,4584,9144,12576,25456,35160,71112
1992,4008,4776,9528,12960,25456,36696,73712
2024,4008,4968,9912,13536,27376,37888,76208
2088,4136,5160,10296,14112,28336,39232,78704
2152,4264,5352,10680,14688,29296,40576,81176
2216,4392,5544,11064,15264,30576,42368,84760
2280,4584,5736,11448,15840,31704,43816,87936
2344,4776,5992,11832,16416,32856,45352,90816
2408,4776,6200,12576,16992,34008,46888,93800
2472,4968,6456,12960,17568,35160,48936,97896
2536,5160,6712,13536,18336,36696,51024,101840
2600,5160,6968,14112,19080,37888,52752,105528
2664,5352,7224,14688,19848,39232,55056,110136
2728,5544,7480,14688,20616,40576,57336,115040
2792,5544,7736,15264,21384,42368,59256,119816
2856,5736,7992,15840,22152,43816,61664,124464
2984,5992,8248,16416,22920,45352,63776,128496
3112,6200,8504,16992,23688,46888,66592,133208
3240,6456,8760,17568,24496,48936,68808,137792
3368,6712,9144,18336,25456,51024,71112,142248
3496,6968,9528,19080,26416,52752,73712,146856
3624,7224,9912,19848,27376,55056,75376,149776
76208,152976,81176,161760,87936,175600,93800,187712
78704,157432,84760,169544,90816,181656,97896,195816
100752,201936,101840,203704,105528,211936,,
107832,214176,110136,220296,112608,226416,115040,230104
117256,236160,119816,239656,124464,248272,125808,251640
