MCS Index,Modulation Order,Modulation Order,TBS Index
0,2,2,0
1,2,2,1
2,2,2,2
3,2,2,3
4,2,2,4
5,2,4,5
6,2,4,6
7,2,4,7
8,2,4,8
9,2,4,9
10,4,6,9
11,4,6,10
12,4,6,11
13,4,6,12
14,4,6,13
15,4,6,14
16,4,6,15
17,6,6,15
18,6,6,16
19,6,6,17
20,6,6,18
21,6,6,19
22,6,6,20
23,6,6,21
24,6,6,22
25,6,6,23
26,6,6,24
27,6,6,25
28,6,6,27
29,6,6,28
30,8,8,25
31,8,8,27
32,8,8,28
33,8,8,29
34,8,8,30
35,8,8,31
36,8,8,32
37,8,8,33A
38,8,8,33/33B
39,10,10,34A
40,10,10,35
41,10,10,36
42,10,10,37A
43,10,10,37
44,2,2,0
45,2,2,2
46,4,6,9
47,4,6,11
48,4,6,13
49,6,6,15
50,6,6,17
51,6,6,19
52,6,6,21
53,8,8,25
54,8,8,28
55,8,8,30
56,8,8,32
57,10,10,34A
58,10,10,36
59,2,2,Reserved
60,4,4,
61,6,6,
62,8,8,
63,10,10,
