TBS_L1,TBS_L4,TBS_L1,TBS_L4,TBS_L1,TBS_L4,TBS_L1,TBS_L4
776,3112,2280,9144,7224,29296,24496,97896
808,3240,2344,9528,7480,29296,25456,101840
840,3368,2408,9528,7736,30576,26416,105528
872,3496,2472,9912,7992,31704,27376,110136
904,3624,2536,10296,8248,32856,28336,115040
936,3752,2600,10296,8504,34008,29296,115040
968,3880,2664,10680,8760,35160,30576,124464
1000,4008,2728,11064,9144,36696,31704,128496
1032,4136,2792,11064,9528,37888,32856,133208
1064,4264,2856,11448,9912,39232,34008,137792
1096,4392,2984,11832,10296,40576,35160,142248
1128,4584,3112,12576,10680,42368,36696,146856
1160,4584,3240,12960,11064,43816,37888,151376
1192,4776,3368,13536,11448,45352,39232,157432
1224,4968,3496,14112,11832,46888,40576,161760
1256,4968,3624,14688,12216,48936,42368,169544
1288,5160,3752,15264,12576,51024,43816,175600
1320,5352,3880,15264,12960,51024,45352,181656
1352,5352,4008,15840,13536,55056,46888,187712
1384,5544,4136,16416,14112,57336,48936,195816
1416,5736,4264,16992,14688,59256,51024,203704
1480,5992,4392,17568,15264,61664,52752,211936
1544,6200,4584,18336,15840,63776,55056,220296
1608,6456,4776,19080,16416,66592,57336,230104
1672,6712,4968,19848,16992,68808,59256,236160
1736,6968,5160,20616,17568,71112,61664,245648
1800,7224,5352,21384,18336,73712,63776,254328
1864,7480,5544,22152,19080,76208,66592,266440
1928,7736,5736,22920,19848,78704,68808,275376
1992,7992,5992,23688,20616,81176,71112,284608
2024,7992,6200,24496,21384,84760,73712,293736
2088,8248,6456,25456,22152,87936,75376,299856
2152,8504,6712,26416,22920,90816,,
2216,8760,6968,28336,23688,93800,,
76208,305976,81176,324336,87936,351224,93800,375448
78704,314888,84760,339112,90816,363336,97896,391656
105528,422232,107832,422232,110136,440616,112608,452832
115040,460232,117256,471192,119816,478400,124464,501792
125808,502624,,,,,,
