Value of CSI request field,Description
'0000',No aperiodic CSI report is triggered
'0001',"Aperiodic CSI report is triggered for a set of {CSI process, CSI-RS resource} configured by higher layers for serving cell"
'0010',"Aperiodic CSI report is triggered for a 1st set of {CSI process, CSI-RS resource} configured by higher layers"
'0011',"Aperiodic CSI report is triggered for a 2nd set of {CSI process, CSI-RS resource} configured by higher layers"
'0100',"Aperiodic CSI report is triggered for a 3rd set of {CSI process, CSI-RS resource} configured by higher layers"
'0101',"Aperiodic CSI report is triggered for a 4th set of {CSI process, CSI-RS resource} configured by higher layers"
'0110',"Aperiodic CSI report is triggered for a 5th set of {CSI process, CSI-RS resource} configured by higher layers"
'0111',"Aperiodic CSI report is triggered for a 6th set of {CSI process, CSI-RS resource} configured by higher layers"
'1000',"Aperiodic CSI report is triggered for a 7th set of {CSI process, CSI-RS resource} configured by higher layers"
'1001',"Aperiodic CSI report is triggered for a 8th set of {CSI process, CSI-RS resource} configured by higher layers"
'1010',"Aperiodic CSI report is triggered for a 9th set of {CSI process, CSI-RS resource} configured by higher layers"
'1011',"Aperiodic CSI report is triggered for a 10th set of {CSI process, CSI-RS resource} configured by higher layers"
'1100',"Aperiodic CSI report is triggered for a 11th set of {CSI process, CSI-RS resource} configured by higher layers"
'1101',"Aperiodic CSI report is triggered for a 12th set of {CSI process, CSI-RS resource} configured by higher layers"
'1110',"Aperiodic CSI report is triggered for a 13th set of {CSI process, CSI-RS resource} configured by higher layers"
'1111',"Aperiodic CSI report is triggered for a 14th set of {CSI process, CSI-RS resource} configured by higher layers"
