TBS_L1,TBS_L3,TBS_L1,TBS_L3,TBS_L1,TBS_L3,TBS_L1,TBS_L3
1032,3112,2664,7992,8248,24496,26416,78704
1064,3240,2728,8248,8504,25456,27376,81176
1096,3240,2792,8248,8760,26416,28336,84760
1128,3368,2856,8504,9144,27376,29296,87936
1160,3496,2984,8760,9528,28336,30576,90816
1192,3624,3112,9144,9912,29296,31704,93800
1224,3624,3240,9528,10296,30576,32856,97896
1256,3752,3368,9912,10680,31704,34008,101840
1288,3880,3496,10296,11064,32856,35160,105528
1320,4008,3624,10680,11448,34008,36696,110136
1352,4008,3752,11064,11832,35160,37888,115040
1384,4136,3880,11448,12216,36696,39232,119816
1416,4264,4008,11832,12576,37888,40576,119816
1480,4392,4136,12576,12960,39232,42368,128496
1544,4584,4264,12960,13536,40576,43816,133208
1608,4776,4392,12960,14112,42368,45352,137792
1672,4968,4584,13536,14688,43816,46888,142248
1736,5160,4776,14112,15264,45352,48936,146856
1800,5352,4968,14688,15840,46888,51024,152976
1864,5544,5160,15264,16416,48936,52752,157432
1928,5736,5352,15840,16992,51024,55056,165216
1992,5992,5544,16416,17568,52752,57336,171888
2024,5992,5736,16992,18336,55056,59256,177816
2088,6200,5992,18336,19080,57336,61664,185728
2152,6456,6200,18336,19848,59256,63776,191720
2216,6712,6456,19080,20616,61664,66592,199824
2280,6712,6712,19848,21384,63776,68808,205880
2344,6968,6968,20616,22152,66592,71112,214176
2408,7224,7224,21384,22920,68808,73712,221680
2472,7480,7480,22152,23688,71112,75376,226416
2536,7480,7736,22920,24496,73712,,
2600,7736,7992,23688,25456,76208,,
76208,230104,81176,245648,87936,266440,93800,284608
78704,236160,84760,254328,90816,275376,97896,293736
105528,314888,107832,324336,110136,324336,112608,336576
115040,339112,117256,351224,119816,363336,124464,373296
125808,375448,,,,,,
