Transmission mode,DCI format,Search Space,Transmission scheme of PDSCH corresponding to EPDCCH
Mode 1,DCI format 1A,UE specific by C-RNTI,"Single-antenna port, port 0 (see Clause 7.1.1)"
,DCI format 1,UE specific by C-RNTI,"Single-antenna port, port 0 (see Clause 7.1.1)"
Mode 2,DCI format 1A,UE specific by C-RNTI,Transmit diversity (see Clause 7.1.2)
,DCI format 1,UE specific by C-RNTI,Transmit diversity (see Clause 7.1.2)
Mode 3,DCI format 1A,UE specific by C-RNTI,Transmit diversity (see Clause 7.1.2)
,DCI format 2A,UE specific by C-RNTI,Large delay CDD (see Clause 7.1.3) or Transmit diversity (see Clause 7.1.2)
Mode 4,DCI format 1A,UE specific by C-RNTI,Transmit diversity (see Clause 7.1.2)
,DCI format 2,UE specific by C-RNTI,Closed-loop spatial multiplexing (see Clause 7.1.4)or Transmit diversity (see Clause 7.1.2)
Mode 5,DCI format 1A,UE specific by C-RNTI,Transmit diversity (see Clause 7.1.2)
,DCI format 1D,UE specific by C-RNTI,Multi-user MIMO (see Clause 7.1.5)
Mode 6,DCI format 1A,UE specific by C-RNTI,Transmit diversity (see Clause 7.1.2)
,DCI format 1B,UE specific by C-RNTI,Closed-loop spatial multiplexing (see Clause 7.1.4) using a single transmission layer
Mode 7,DCI format 1A,UE specific by C-RNTI,"If the number of PBCH antenna ports is one, Single-antenna port, port 0 is used (see Clause 7.1.1), otherwise Transmit diversity (see Clause 7.1.2)"
,DCI format 1,UE specific by C-RNTI,"Single-antenna port, port 5 (see Clause 7.1.1)"
Mode 8,DCI format 1A,UE specific by C-RNTI,"If the number of PBCH antenna ports is one, Single-antenna port, port 0 is used (see Clause 7.1.1), otherwise Transmit diversity (see Clause 7.1.2)"
,DCI format 2B,UE specific by C-RNTI,"Dual layer transmission, port 7 and 8 (see Clause 7.1.5A) or single-antenna port, port 7 or 8 (see Clause 7.1.1)"
Mode 9,DCI format 1A,UE specific by C-RNTI,"Non-MBSFN subframe: If the number of PBCH antenna ports is one, Single-antenna port, port 0 is used (see Clause 7.1.1), otherwise Transmit diversity (see Clause 7.1.2)MBSFN subframe: Single-antenna port, port 7 (see Clause 7.1.1)"
,DCI format 2C,UE specific by C-RNTI,"Transmit diversity, port 7-8, (see Clause 7.1.2) or dual layer transmission port 7-8 (see Clause 7.1.5A), if UE is configured with higher layer parameter semiOpenLoop, up to 8 layer transmission, ports 7-14 (see Clause 7.1.5B) otherwise; or single-antenna port, port 7, 8, 11, or 13 (see Clause 7.1.1) if UE is configured with higher layer parameter dmrs-tableAlt, single-antenna port, port 7 or 8 (see Clause 7.1.1) otherwise"
Mode 10,DCI format 1A,UE specific by C-RNTI,"Non-MBSFN subframe: If the number of PBCH antenna ports is one, Single-antenna port, port 0 is used (see Clause 7.1.1), otherwise Transmit diversity (see Clause 7.1.2)MBSFN subframe: Single-antenna port, port 7 (see Clause 7.1.1)"
,DCI format 2D,UE specific by C-RNTI,"Transmit diversity, port 7-8, (see Clause 7.1.2) or dual layer transmission port 7-8 (see Clause 7.1.5A), if UE is configured with higher layer parameter semiOpenLoop, up to 8 layer transmission, ports 7-14 (see Clause 7.1.5B) otherwise; or single-antenna port, port 7, 8, 11, or 13 (see Clause 7.1.1) if UE is configured with higher layer parameter dmrs-tableAlt, single-antenna port, port 7 or 8 (see Clause 7.1.1) otherwise"
