,,,,,,,,,,
,15,16,17,18,19,20,21,22,23,24
0,392,424,456,488,504,536,568,600,616,648
1,520,568,600,632,680,712,744,776,808,872
2,648,696,744,776,840,872,936,968,1000,1064
3,872,904,968,1032,1096,1160,1224,1256,1320,1384
4,1064,1128,1192,1288,1352,1416,1480,1544,1608,1736
5,1320,1384,1480,1544,1672,1736,1864,1928,2024,2088
6,1544,1672,1736,1864,1992,2088,2216,2280,2408,2472
7,1800,1928,2088,2216,2344,2472,2536,2664,2792,2984
8,2088,2216,2344,2536,2664,2792,2984,3112,3240,3368
9,2344,2536,2664,2856,2984,3112,3368,3496,3624,3752
10,2664,2792,2984,3112,3368,3496,3752,3880,4008,4008
11,2984,3240,3496,3624,3880,4008,4008,4008,,
12,3368,3624,3880,4008,4008,,,,,
13,3880,4008,4008,,,,,,,
14,4008,,,,,,,,,
