PUCCH Reporting Type,Reported,Mode State,PUCCH Reporting Modes,,,
,,,Mode 1-1,Mode 2-1,Mode 1-0,Mode 2-0
,,,(bits/BP*),(bits/BP*),(bits/BP*),(bits/BP*)
1,Sub-bandCQI,RI = 1,NA,4+L,NA,4+L
,,RI > 1,NA,7+L,NA,4+L17+L2
1a,Sub-band CQI / second PMI,"8 antenna ports or 8/12/16/20/24/28/32 antenna ports with codebookConfig={2,3,4}, RI = 1",NA,8+L,NA,NA
,,"8 antenna ports or 8/12/16/20/24/28/32 antenna ports with codebookConfig={2,3,4}, 1 < RI < 5",NA,9+L,NA,NA
,,"8 antenna ports or 8/12/16/20/24/28/32 antenna ports with codebookConfig={1,2,3,4} RI > 4",NA,7+L,NA,NA
,,"8/12/16/20/24/28/32 antenna ports with codebookConfig=1, RI = 1",NA,6+L,NA,NA
,,"8/12/16/20/24/28/32 antenna ports with codebookConfig=1, RI = 2",NA,9+L,NA,NA
,,"8/12/16/20/24/28/32 antenna ports with codebookConfig=1, 2<RI<5",NA,8+L,NA,NA
,,4 antenna ports RI=1,NA,8+L,NA,NA
,,4 antenna ports 1<RI4,NA,9+L,NA,NA
2,Wideband CQI/PMI,2 antenna ports RI = 1,6,6,NA,NA
,,"4 antenna ports RI = 1, Note5",8,8,NA,NA
,,2 antenna ports RI > 1,8,8,NA,NA
,,"4 antenna ports RI > 1, Note5",11,11,NA,NA
,,"4 antenna ports RI = 1, Note6",7,7,NA,NA
,,"4 antenna ports RI = 2, Note6",10,10,NA,NA
,,"4 antenna ports RI = 3, Note6",9,9,NA,NA
,,"4 antenna ports RI = 4, Note6",8,8,NA,NA
,,8 antenna ports RI = 1,8,8,NA,NA
,,8 antenna ports 1<RI<4,11,11,NA,NA
,,8 antenna ports RI = 4,10,10,NA,NA
,,8 antenna ports RI > 4,7,7,NA,NA
2a,Wideband first PMI,8 antenna ports RI < 3,NA,4,NA,NA
,,8 antenna ports 2 < RI < 8,NA,2,NA,NA
,,8 antenna ports RI = 8,NA,0,NA,NA
,,4 antenna ports 1RI2,NA,4,NA,NA
,,4 antenna ports 2RI4,NA,NA,NA,NA
,,"8/12/16/20/24/28/32 antenna ports with codebookConfig=1, 1RI8",Note3,Note3,NA,NA
,,"8/12/16/20/24/28/32 antenna ports with codebookConfig={2,3,4}",Note4,Note4,NA,NA
,,"4 antenna ports with advancedCodebookEnabled =True, 1RI2",3,NA,NA,NA
,,"4 antenna ports with advancedCodebookEnabled =True, 3RI4",0,NA,NA,NA
,,"8 antenna ports with advancedCodebookEnabled =True, 1RI2",6,NA,NA,NA
,,"8 antenna ports with advancedCodebookEnabled =True, 3RI7",2,NA,NA,NA
,,"8 antenna ports with advancedCodebookEnabled =True, RI=8",0,NA,NA,NA
,,"8/12/16/20/24/28/32 antenna ports with advancedCodebookEnabled =True and eMIMO-Type is set to 'CLASS A', 1RI8",Note7,NA,NA,NA
,,"8/12/16/20/24/28/32 antenna ports, eMIMO-Type and eMIMO-Type2 configured by higher layers, eMIMO-Type is set to 'CLASS A', eMIMO-Type2 is set to 'CLASS B', and maximum 1 or 2 layers are supported by the UE",Note8,Note8,Note8,Note8
2b,Wideband CQI / second PMI,"8 antenna ports or 8/12/16/20/24/28/32 antenna ports with codebookConfig = {2,3,4}, RI = 1",8,8,NA,NA
,,"8 antenna ports or 8/12/16/20/24/28/32 antenna ports with codebookConfig = {2,3,4}, 1 < RI < 4",11,11,NA,NA
,,"8 antenna ports or 8/12/16/20/24/28/32 antenna ports with codebookConfig = {2,3,4}, RI = 4",10,10,NA,NA
