Name,Value,Semantics description,Ver
PDCP configuration,,,
>t-Reordering,Undefined,"Selected by the receiving UE, up to UE implementation",
>pdcp-SN-Size,12,,
RLC configuration,,UM RLC,
>sn-FieldLength,6,,
>t-Reassembly,Undefined,"Selected by the receiving UE, up to UE implementation",
>logicalChannelIdentity,58,,
MAC configuration,,,
>priority,1,,
>prioritisedBitRate,infinity,,
>logicalChannelGroup,0,,
>schedulingRequestId,0,The scheduling request configuration with this value is applicable for this SCCH if configured by the network.,
>sl-HARQ-FeedbackEnabled,disabled,HARQ feedback is not supported for NR sidelink discovery transmission,
