Name,Value,Semantics description,Ver
PDCP configuration,,,
>t-Reordering,Undefined,"Selected by the receiving UE, up to UE implementation",
>pdcp-SN-Size,12,,
SRAP configuration,,"Specified for L2 U2U relay operation, which is used for U2U Remote UE's SL-SRB0 with the peer U2U Remote UE.",
>sl-RemoteUE-SLRB-Identity,0,This parameter is only applicable to L2 U2U relay operation.,
RLC configuration,,UM RLC,
>sn-FieldLength,6,,
>t-Reassembly,Undefined,"Selected by the receiving UE, up to UE implementation",
>logicalChannelIdentity,0,,
MAC configuration,,,
>priority,1,,
>prioritisedBitRate,infinity,,
>logicalChannelGroup,0,,
>schedulingRequestId,0,The scheduling request configuration with this value is applicable for this SCCH if configured by the network.,
>sl-HARQ-FeedbackEnabled,Undefined,"Selected by the transmitting UE, up to UE implementation",
