Timer,Start,Stop,At expiry
T300,Upon transmission of RRCSetupRequest.,"Upon reception of RRCSetup or RRCReject message, cell re-selection, relay (re)selection or cell selection by a L2 U2N Remote UE, and upon abortion of connection establishment by upper layers.",Perform the actions as specified in 5.3.3.7.
T301,Upon transmission of RRCReestabilshmentRequest,"Upon reception of RRCReestablishment or RRCSetup message as well as when the selected cell becomes unsuitable or the (re)selected L2 U2N Relay UE becomes unsuitable, upon reception of NotificationMessageSidelink indicating relayUE-HO or relayUE-CellReselection.",Go to RRC_IDLE
T302,"Upon reception of RRCReject while performing RRC connection establishment or resume, upon reception of RRCRelease with waitTime.","Upon entering RRC_CONNECTED or RRC_IDLE, upon cell re-selection, upon cell change due to relay (re)selection or cell selection by a L2 U2N Remote UE, and upon reception of RRCReject message.",Inform upper layers about barring alleviation as specified in 5.3.14.4
T304,"Upon reception of RRCReconfiguration message including reconfigurationWithSync for the MCG which does not include sl-PathSwitchConfig, or upon reception of RRCReconfiguration message including reconfigurationWithSync for the SCG not indicated as deactivated in the NR or E-UTRA message containing the RRCReconfiguration message or upon conditional reconfiguration execution i.e. when applying a stored RRCReconfiguration message including reconfigurationWithSync.Also, for the MCG and SCG upon an indication from lower layer that an LTM cell switch procedure is triggered and, for the MCG, upon performing an LTM cell switch procedure following cell selection performed while timer T311 is running.","Upon successful completion of random access on the corresponding SpCell.Upon receiving an indication from lower layers of successful completion of Rach-less handover, or upon receiving an indication from lower layers of successful completion of an LTM RACH-less cell switch.For T304 of SCG, upon SCG release.","For T304 of MCG, in case of the handover from NR or intra-NR handover, or path switch from a L2 U2N Relay UE to a NR cell, or an LTM cell switch procedure, initiate the RRC re-establishment procedure; In case of handover to NR, perform the actions defined in the specifications applicable for the source RAT. If any DAPS bearer is configured and if there is no RLF in source PCell, initiate the failure information procedure.For T304 of SCG, inform network about the reconfiguration with sync failure by initiating the SCG failure information procedure as specified in 5.7.3."
T310,Upon detecting physical layer problems for the SpCell i.e. upon receiving N310 consecutive out-of-sync indications from lower layers.,"Upon receiving N311 consecutive in-sync indications from lower layers for the SpCell, upon receiving RRCReconfiguration with reconfigurationWithSync for that cell group, upon reception of MobilityFromNRCommand, upon the reconfiguration of rlf-TimersAndConstant, upon initiating the connection re-establishment procedure, upon conditional reconfiguration execution i.e. when applying a stored RRCReconfiguration message including reconfigurationWithSync for that cell group, upon an indication from lower layers that an LTM cell switch procedure is triggered, and upon initiating the MCG failure information procedure.Upon SCG release, if the T310 is kept in SCG.","If the T310 is kept in MCG: If AS security is not activated: go to RRC_IDLE else: initiate the MCG failure information procedure as specified in 5.7.3b or the connection re-establishment procedure as specified in 5.3.7 or the procedure as specified in 5.3.10.3 if any DAPS bearer is configured.If the T310 is kept in SCG, Inform E-UTRAN/NR about the SCG radio link failure by initiating the SCG failure information procedure as specified in 5.7.3."
T311,Upon initiating the RRC connection re-establishment procedure,"Upon selection of a suitable NR cell, or upon selection of a suitable L2 U2N Relay UE, or a cell using another RAT.",Enter RRC_IDLE
T312,"If T312 is configured in MCG: Upon triggering a measurement report for a measurement identity for which T312 has been configured and useT312 has been set to true, while T310 in PCell is running.If T312 is configured in SCG and useT312 has been set to true: Upon triggering a measurement report for a measurement identity for which T312 has been configured, while T310 in PSCell is running.","Upon receiving N311 consecutive in-sync indications from lower layers for the SpCell, receiving RRCReconfiguration with reconfigurationWithSync for that cell group, upon reception of MobilityFromNRCommand, upon initiating the connection re-establishment procedure, upon the reconfiguration of rlf-TimersAndConstant, upon initiating the MCG failure information procedure, upon conditional reconfiguration execution i.e. when applying a stored RRCReconfiguration message including reconfigurationWithSync for that cell group, upon an indication from lower layers that an LTM cell switch procedure is triggered, and upon the expiry of T310 in corresponding SpCell.Upon SCG release, if the T312 is kept in SCG","If the T312 is kept in MCG, initiate the MCG failure information procedure as specified in 5.7.3b or the connection re-establishment procedure.If the T312 is kept in SCG, Inform E-UTRAN/NR about the SCG radio link failure by initiating the SCG failure information procedure.as specified in 5.7.3."
T316,Upon transmission of the MCGFailureInformation message,"Upon receiving RRCRelease,  RRCReconfiguration with reconfigurationwithSync for the PCell, MobilityFromNRCommand, or upon initiating the re-establishment procedure",Perform the actions as specified in 5.7.3b.5.
T319,Upon transmission of RRCResumeRequest or RRCResumeRequest1 when the resume procedure is not initiated for SDT.,"Upon reception of RRCResume, RRCSetup, RRCRelease, RRCRelease with suspendConfig or RRCReject message, upon cell re-selection or upon relay (re)selection.",Perform the actions as specified in 5.3.13.5.
T319a,Upon transmission of RRCResumeRequest or RRCResumeRequest1 when the resume procedure is initiated for SDT.,"Upon reception of RRCResume, RRCSetup, RRCRelease, RRCReject message or upon failure to resume RRC connection for SDT as specified in 5.3.13.5 or upon cell reselection.",Perform the actions as specified in 5.3.13.5.
T320,Upon reception of t320 or upon cell (re)selection to NR from another RAT with validity time configured for dedicated priorities (in which case the remaining validity time is applied).,"Upon entering RRC_CONNECTED, upon reception of RRCRelease, when PLMN selection or SNPN selection is performed on request by NAS, when the UE enters RRC_IDLE from RRC_INACTIVE, or upon cell (re)selection to another RAT (in which case the timer is carried on to the other RAT).",Discard the cell reselection priority information provided by dedicated signalling.
