Conditional presence,Explanation
DRB,"This field is mandatory present when the corresponding DRB/multicast MRB is being set up, absent for SRBs. Otherwise this field is optionally present, need M."
DRB2,"This field is optionally present in case of DRB, need M. Otherwise, it is absent for SRBs and MRBs."
Drb-Duplication,"For SRBs, this field is absent. For DRBs, this field is absent if duplication is not configured. Otherwise, this field is optional, need R."
MoreThanOneRLC,"This field is mandatory present upon RRC reconfiguration with setup of a PDCP entity for a radio bearer (except for multicast MRB) with more than one associated logical channel and upon RRC reconfiguration with the association of additional logical channels to the PDCP entity.The field is also mandatory present in case the field moreThanTwoRLC-DRB is included in PDCP-Config.Upon RRC reconfiguration when a PDCP entity is associated with multiple logical channels, this field is optionally present need M. Otherwise, this field is absent. Need R."
MoreThanTwoRLC-DRB,"For SRBs, this field is absent.For DRBs, this field is mandatory present upon RRC reconfiguration with setup of a PDCP entity for a radio bearer with more than two associated logical channels and upon RRC reconfiguration with the association of one or more additional logical channel(s) to the PDCP entity so that the PDCP entity has more than two associated logical channels.Upon RRC reconfiguration when a PDCP entity is associated with more than two logical channels, this field is optionally present, Need M. Otherwise, the field is absent, Need R."
Rlc-AM,"For RLC AM, the field is optionally present, need M. Otherwise, the field is absent."
Rlc-AM-UM,"In case of DRB, for RLC UM (if the UE supports DAPS handover) or RLC AM, the field is optionally present, need R. In case of multicast MRB, if multicast MRB is associated with at least one RLC AM entity, the field is optionally present, need R. Otherwise, the field is absent."
Setup,"The field is mandatory present in case of DRB setup. Otherwise the field is optionally present, need M."
SplitBearer,"The field is absent for SRBs. Otherwise, the field is optional present, need M, in case of radio bearer with more than one associated RLC mapped to different cell groups."
SplitBearer2,"The field is mandatory present, in case of a split bearer except MP split bearer with primary path on direct path. Otherwise the field is absent."
SplitBearerMP,"The field is absent for SRBs. Otherwise, the field is optionally present, need R, when MP is configured."
ConnectedTo5GC,"The field is optionally present, need R, if the UE is connected to 5GC. Otherwise the field is absent."
ConnectedTo5GC1,"The field is optionally present, need R, if the UE is connected to NR/5GC or if the UE supports user plane integrity protection when connected to E-UTRA/EPC (as specified in TS 33.401 [30]). Otherwise the field is absent."
Setup1,"This field is mandatory present in case of DRB setup for RLC-AM and RLC-UM. Otherwise, this field is absent, Need M."
Setup2,"This field is mandatory present in case for radio bearer setup for RLC-AM and RLC-UM. Otherwise, this field is absent, Need M."
MRB-Initialization,"This field is mandatory present in case of multicast MRB setup or in case UE configured with multicast reception in RRC_INACTIVE resumes the RRC connection. In case of PDCP re-establishment for multicast MRB, this field is optionally present, Need N. Otherwise, this field is absent, Need N."
RLC-AM,"For RLC AM, this field is optionally present, need R; Otherwise, the field is absent."
