TDoc Number (RP-xxxxxx): CR Title,CR Number(s),CR Revision Number(s),Earliest Implementable Release,Additional Information
RP-200335: Correction on usage of access category 2 for UAC for RNA update,1141,2,Release 15,
RP-201185: Introduction of signalling for high-speed train scenarios,1464,5,Release 15,
"RP-201216: Release-16 UE capabilities based on RAN1, RAN4 feature lists and RAN2",1665,2,Release 15,Early implementation part is referring to the aspect covered by-R2-2006203: Extension of CSI-RS capabilities per codebook type-R2-2006360: Intraband EN_DC power class expansion for 29 dBm
RP-202768: UE behaviour when UL 7.5KHz shift is not supported,2107,2,Release 15,
RP-202790: Correction on uac-AccessCategory1-SelectionAssistanceInfo,2130,1,Release 15,
RP-211483: Clarification on the initiation of RNA update,2581,1,Release 15,
RP-201190: Introduction of eCall over IMS for NR,1670,-,Release 15,
RP-212598: Distinguishing support of extended band n77,2810,2,Release 15,
RP-213342: Duty cycle signalling for power class 1.5,2817,1,Release 15,
RP-213345: CR on 38.331 for introducing UE capability of txDiversity,2859,1,Release 15,
RP-220497: Introduction of function for RRM enhancements for Rel-17 NR FR1 HST,2898,2,Release 16,
RP-220838: Release-17 UE capabilities based on R1 and R4 feature lists (TS38.331),2901,1,Release 15,Early implementation part is referring to the aspect covered by:-R2-2203898: Introduction of BCS4 and BCS5-R2-2203836: Introducing UE capability for power class 5 for FR2 FWA
RP-221721: CR on the CBM/IBM reporting-38331,2916,2,Release 16,
RP-221736: Distinguishing support of band n77 restrictions in Canada [n77 Canada],3078,2,Release 15,
RP-222527: Correction to additionalSpectrumEmission for UL CA in n77 for the US,3476,-,Release 15,
RP-222527: Correction to additionalSpectrumEmission for UL CA in n77 for Canada,3478,-,Release 15,
RP-232570: Addition of extended number range for NS value,3900,6,Release 16,
RP-233888: Introduction of FR2 FBG2 CA BW classes,2867,6,Release 15,
RP-233882: Enhancing SCell A2 event reporting,4375,2,Release 15,
RP-233890: PTM retransmission reception for multicast DRX with HARQ feedback disabled [PTM_ReTx_Mcast_HARQ_Disb],4504,-,Release 17,
RP-240667: UE capability for Enhanced channel raster,4445,3,Release 16,
RP-240658: Introduction of TxDiversity for 2Tx capability,4639,2,Release 17,
RP-241543: Introduction of barring exemption for RedCap UEs for emergency calls,4570,4,Release 17,
RP-241543: Correction on Redcap 1 Rx and 2 Rx barring,4632,5,Release 17,
RP-241544: Correction on TRS in idle and inactive,4755,3,Release 17,
RP-241544: Clarification RLM/BFD relaxation and short DRX,4771,2,Release 17,
RP-233915: Introduction of further measurement gap enhancements,4063,6,Release 17,Early implementation part is referring to all aspects other than effective measurement window. Early implementation also includes the corresponding capability of R2-2311897 (within CR 4510 of RP-233940).
RP-243227: Introduction of network signalling of maximum number of UL segments [Max-RRC-SegUL],5004,3,Release 16,
RP-243233: Correction on deprioritisationTimer,5170,2,Release 15,
RP-252791: SSB position restrictions for less-than-5MHz SCells,5249,3,Release 18,
RP-252924: Introduction of 7MHz channel bandwidth,5308,4,Release 18,
RP-252788: Introduction of less than 5MHz in NTN,5389,2,Release 18,
RP-253741: Correction on PC5 Relay RLC channel configuration,5510,3,Release 17,
