NR CA Configuration,Uplink CA Configurations or single uplink carrier5,Channel bandwidths for carrier(MHz),Channel bandwidths for carrier(MHz),Channel bandwidths for carrier(MHz),Channel bandwidths for carrier(MHz),MaximumAggregated bandwidth(MHz),Bandwidth combination set
CA_n1(2A),-,"5, 10, 15, 20","5, 10, 15, 20",,,40,0
,,See n1 channel bandwidths in Table 5.3.5-1 for each carrier,,,,55,4 and 5
CA_n2(2A),-,"5, 10, 15, 20","5, 10, 15, 20",,,40,0
,-,See n2 channel bandwidths in Table 5.3.5-1 for each carrier,,,,40,4 and 5
CA_n2(3A),-,See n2 channel bandwidths in Table 5.3.5-1 for each carrier,,,,50,4 and 5
CA_n3(2A),-,"5, 10, 15, 20","5, 10, 15, 20",,,40,0
,,"5, 10, 15, 20, 25, 30","5, 10, 15, 20, 25, 30",,,60,1
,,See n3 channel bandwidths in Table 5.3.5-1 for each carrier,,,,70,4 and 5
CA_n5(2A),-,"5, 10, 15, 20","5, 10, 15, 20",,,25,0
CA_n7(2A),-,"5, 10, 15, 20","5, 10, 15, 20",,,40,0
,,See n7 channel bandwidths in Table 5.3.5-1 for each carrier,,,,65,4 and 5
CA_n12(2A),-,5,5,,,10,0
CA_n25(2A),n253,"5, 10, 15, 20","5, 10, 15, 20",,,40,0
,,"5, 10, 15, 20, 25, 30, 40","5, 10, 15, 20, 25, 30, 40",,,60,1
,,See n25 channel bandwidths in Table 5.3.5-1 for each carrier,,,,60,4 and 5
CA_n25(3A),n253,"5, 10, 15, 20, 25, 30, 40","5, 10, 15, 20, 25, 30, 40","5, 10, 15, 20, 25, 30, 40",,55,0
,,See n25 channel bandwidths in Table 5.3.5-1 for each carrier,,,,55,4 and 5
CA_n26(2A),CA_n26(2A)7,"5, 10, 15","5, 10, 15",,,30,0
CA_n40(2A),"n403,4CA_n40(2A)3,4",See n40 channel bandwidths in Table 5.3.5-1 for each carrier,,,,95,4 and 5
CA_n41(2A),"n413,4CA_n41(2A)3,4","40, 50, 60, 80, 100","40, 50, 60, 80, 100",,,180,0
,,"10, 15, 20, 40, 50, 60, 80, 90, 100","10, 15, 20, 40, 50, 60, 80, 90, 100",,,190,1
,,"10, 15, 20, 30, 40, 50, 60, 80, 90","15, 20, 30, 40, 50, 60, 80, 90, 100",,,190,2
