Parameter,Unit,Combination,Cell 1,,,Cell 2,,,Cell 3,,
,,,T1,T2,T3,T1,T2,T3,T1,T2,T3
E-UTRA RF Channel Number,,All,1,,,2,,,2,,
BWchannel,,20MHz+10MHz,"20MHz: NRB,c = 100",,,"10MHz: NRB,c = 50",,,"10MHz: NRB,c = 50",,
,,10MHz+20MHz,"10MHz: NRB,c = 50",,,"20MHz: NRB,c = 100",,,"20MHz: NRB,c = 100",,
Correlation Matrix and Antenna Configuration,,All,1x2 Low,,,1x2 Low,,,1x2 Low,,
PDSCH Reference measurement channel defined in A.3.1.1.2,,20MHz+10MHz,R.3 TDD,,,N/A,,,N/A,,
,,10MHz+20MHz,R.0 TDD,,,N/A,,,N/A,,
PDCCH/PCFICH/PHICH Reference measurement channel defined in A.3.1.2.2,,20MHz+10MHz,R.10 TDD,,,R.6 TDD,,,R.6 TDD,,
,,10MHz+20MHz,R.6 TDD,,,R.10 TDD,,,R.10 TDD,,
OCNG Patterns defined in A.3.2.2,,20MHz+10MHz,OP.7 TDD,,,OP.2 TDD,,,OP.2 TDD,,
,,10MHz+20MHz,OP.1 TDD,,,OP.8 TDD,,,OP.8 TDD,,
PBCH_RA,dB,All,0,,,0,,,0,,
PBCH_RB,dB,,,,,,,,,,
PSS_RA,dB,,,,,,,,,,
SSS_RA,dB,,,,,,,,,,
PCFICH_RB,dB,,,,,,,,,,
PHICH_RA,dB,,,,,,,,,,
PHICH_RB,dB,,,,,,,,,,
PDCCH_RA,dB,,,,,,,,,,
PDCCH_RB,dB,,,,,,,,,,
PDSCH_RA,dB,,,,,,,,,,
PDSCH_RB,dB,,,,,,,,,,
OCNG_RANote 1,dB,,,,,,,,,,
OCNG_RBNote 1,dB,,,,,,,,,,
NocNote 2,dBm/15 kHz,All,-104,,,-104,,,,,
RSRP Note 3,dBm/15 kHz,All,-85,-85,-107,-85,-85,-107,-infinity,-85,-107
Ês/Iot,dB,All,19,19,-3,19.00,-0.05,-4.76,-infinity,-0.05,-4.76
SCH_RP Note 3,dBm/15 kHz,All,-85,-85,-107,-85,-85,-107,-infinity,-85,-107
Ês/Noc,dB,All,19,19,-3,19,19,-3,-infinity,19,-3
Propagation Condition,,All,ETU70,,,,,,,,
Note 1:OCNG shall be used such that all cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.Note 2:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for Noc to be fulfilled.Note 3:RSRP and SCH_RP levels have been derived from other parameters for information purposes. They are not settable parameters themselves.Note 4:The resources for uplink transmission are assigned to the UE prior to the start of time period T2.,,,,,,,,,,,
