Parameter,,Unit,Value,Comment
E-UTRA RF Channel Number,,,"1, 2",Two radio channels are used for this test.
Active PCell,,,Cell1,PCell on RF channel number 1.
Active PSCell,,,Cell2,PSCell on RF channel number 2.
Neighbour cell,,,Cell3,Neighbour cell on RF channel number 2.
A3,Hysteresis,dB,0,Hysteresis for evaluation of event A3.
,A3-offset,dB,-3,
,Time To Trigger,s,0,
CP length,,,Normal,
DRX,,,OFF,DRX related parameters are defined in Table A.8.23.4.1-3
si-RequestForHO,,,TRUE,As specified in clause 5.5.3.1 in TS 36.331.
Cell-individual offset for cells on RF channel number 1,,dB,0,Individual offset for cells on primary component carrier.
Cell-individual offset for cells on RF channel number 2,,dB,0,Individual offset for cells on carrier frequency of Cell2.
Filter coefficient,,,0,L3 filtering is not used
T1,,s,5,
T2,,s,10,
T3,,s,5,
