Parameter,Unit,Cell 1,,Cell 2,,Cell 3,,,Cell 4,
,,T1,T2,T1,T2,T1,,T2,T1,T2
E-UTRA RF Channel Number,,1,,2,,3,,,3,
BWchannel,MHz,"5MHz: NRB,c = 2510MHz: NRB,c = 5020MHz: NRB,c = 100",,20,,20,,,20,
Uplink-downlink configurationNote1,,1,,1,,-,,,-,
Special subframe configurationNote2,,6,,6,,-,,,-,
Measurement bandwidth,,5MHz: 10-1510MHz: 22-2720MHz: 47-52,,47-52,,47-52,,,47-52,
PDSCH parameters defined in A.3.1.1.1,,5MHz: R.4 TDD 10MHz: R.0 TDD20MHz: R.3 TDD,,5MHz: R.4 TDD 10MHz: R.0 TDD20MHz: R.3 TDD,,-,,,-,
PCFICH/PDCCH/PHICH parameters defined in A.3.1.2.1,,5MHz: R.11 TDD 10MHz: R.6 TDD20MHz: R.10 TDD,,5MHz: R.11 TDD 10MHz: R.6 TDD20MHz: R.10 TDD,,-,,,-,
OCNG Patterns defined in A.3.2.1,,5MHz: OP.9 TDD 10MHz: OP.1 TDD20MHz: OP.7 TDD,,OP.8 TDD,,OP.7 TDD,,,OP.7 TDD,
IE allowInterruptions,,True,,-,,-,,,-,
PBCH_RA,dB,0,,0,,0,,,0,
PBCH_RB,dB,,,,,,,,,
PSS_RA,dB,,,,,,,,,
SSS_RA,dB,,,,,,,,,
PCFICH_RB,dB,,,,,,,,,
PHICH_RA,dB,,,,,,,,,
PHICH_RB,dB,,,,,,,,,
PDCCH_RA,dB,,,,,,,,,
PDCCH_RB,dB,,,,,,,,,
PDSCH_RA,dB,,,,,,,,,
PDSCH_RB,dB,,,,,,,,,
OCNG_RANote 1,dB,,,,,,,,,
OCNG_RBNote 1,dB,,,,,,,,,
Note 3,dBm/15 kHz,-98,,-98,,,,,-98,
,dB,13,13,13,13,13,,13,-Infinity,13
RSRP Note 4,dBm/15 kHz,-85,-85,-85,-85,-85,,-85,-Infinity,-85
Note 4,dB,13,13,13,13,13,,-0.21,-Infinity,-0.21
SCH_RP Note 4,dBm/15 kHz,-85,-85,-85,-85,-85,,-85,-Infinity,-85
Io Note4,dBm/Ch BW,"-57.01+10log(NRB,c /50)",,"-57.01+10log(NRB,c /50)",,-54.00,-51.09,,Specified in columns for Cell 2,
Propagation Condition,,AWGN,,AWGN,,AWGN,,,AWGN,
Antenna Configuration,,1x2,,1x2,,1x2,,,1x2,
timing offset to cell1,μs,-,-,0,0,0,0,,-,3
Time alignment error relative to cell 1 Note 5,s,-,-,≤ TAE,≤ TAE,≤ TAE,≤ TAE,,N/A,N/A
"Note 1:OCNG shall be used such that all cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.Note 2:The resources for uplink transmission are assigned to the UE prior to the start of time period T2.Note 3:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.Note 4:Es/Iot, RSRP, SCH_RP and Io levels have been derived from other parameters for information purposes. They are not settable parameters themselves.Note 5:Time alignment error (TAE) as specified in TS 36.104 [30] clause 6.5.3.1.",,,,,,,,,,
