Parameter,,Unit,Value,Comment
E-UTRA RF Channel Number,,,"1, 2, 3",Three radio channels are used for this test.
Active PCell,,,Cell1,PCell on RF channel number 1.
Configured PSCell,,,Cell2,PSCell on RF channel number 2.
Neighbour cell,,,Cell3,Neighbour cell on RF channel number 3.
A3,Hysteresis,dB,0,Hysteresis for evaluation of event A3.
,A3-offset,dB,-6,
,Time To Trigger,s,0,
CP length,,,Normal,
DRX,,,ON,DRX related parameters are defined in Table A.8.23.13.1-3
Measurement gap pattern Id,,,0,
Cell-individual offset for cells on RF channel number 1,,dB,0,Individual offset for cells on primary component carrier.
Cell-individual offset for cells on RF channel number 2,,dB,0,Individual offset for cells on carrier frequency of Cell2.
Cell-individual offset for cells on RF channel number 3,,dB,0,Individual offset for cells on carrier frequency of Cell3.
Filter coefficient,,,0,L3 filtering is not used
T1,,s,5,
T2,,s,5,
Note 1:A UE capable of both synchronous and asynchronous DC operations is not required to pass this test case in accordance with the principle defined in section A.3.11.,,,,
