Parameter,,Unit,Value,Comment
PDSCH parameters,,,DL Reference Measurement Channel R.3 FDD,As specified in clause A.3.1.1.1
PCFICH/PDCCH/PHICH parameters,,,DL Reference Measurement Channel R.6 FDD,As specified in clause A.3.1.2.1
E-UTRA RF Channel Number,,,"1, 2",Two radio channels are used for this test
Active PCell,,,Cell 1,Primary cell on RF channel number 1.
Configured deactivated SCell,,,Cell 2,Configured deactivated secondary cell on RF channel number 2.
Neighbour cell,,,Cell 3,Neighbor cell to be identified on RF channel number 2.
Channel Bandwidth (BWchannel),,MHz,10,Channel bandwidth for cells on primary and secondary component carriers
CP length,,,Normal,
DRX,,,OFF,Continuous monitoring of primary cell
A6,Hysteresis,dB,0,Hysteresis for evaluation of event A6.
,Offset,dB,-3,Offset parameter for evaluation of event A6. Needs to take relative accuracy tolerance in clause 9.1.11.2 into account plus margin.
,Report on leave,,False,
,Time To Trigger,s,0,
Cell-individual offset for cells on RF channel number 1,,dB,0,Individual offset for cells on primary component carrier.
Cell-individual offset for cells on RF channel number 2,,dB,0,Individual offset for cells on secondary component carrier.
Filter coefficient,,,0,L3 filtering is not used
SCell measurement cycle,,ms,320,
Cell2 timing offset to cell1,,s,0,
Time alignment error between cell2 and cell1,,s,≤ Time alignment error as specified in TS 36.104 [30] clause 6.5.3.1.,The value of time alignment error depends upon the type of carrier aggregation.
Cell3 timing offset to cell1,,s,3,Synchronous cells
NCSG Pattern Id / gapOffset,,,0 / 0,"(VIL1,ML,VIL2) = (1,4,1) for downlink and (1,4,2) for uplink"
T1,,s,5,During this time the UE shall be aware of cells 1 and 2 but not cell 3.
T2,,s,≤30,UE shall report Event A6 within 25.6s (20×scellMeasCycle)
NOTE:This test verifies the RRM requirement which is independent of channel bandwidth and is performed according to the principle defined in section A.3.6.1.,,,,
