Parameter,,Unit,Value,Comment
E-UTRA RF Channel Number,,,"1, 2",Two radio channels are used for this test
Active PCell,,,Cell 1,Primary cell on RF channel number 1.
Configured deactivated SCell,,,Cell 2,Configured deactivated secondary cell on RF channel number 2.
Neighbour cell,,,Cell 3,Neighbor cell to be identified on RF channel number 2.
DMTC period,,ms,160,As specified in IE MeasDS-Config in TS 36.331
dmtc-PeriodOffset for cells 2 and 3,,ms,10,As specified in IE MeasDS-Config in TS 36.331
Discovery signal occasion duration,,ms,1,As specified in IE MeasDS-Config in TS 36.331
Channel Bandwidth (BWchannel),,MHz,10,Channel bandwidth for cells on primary and secondary component carriers
CP length,,,Normal,
Special subframe configuration,,,6,As specified in table 4.2.1 in TS 36.211. The same configuration applies to all cells.
Uplink-downlink configuration,,,1,
DRX,,,OFF,Continuous monitoring of primary cell
C1,Hysteresis,dB,0,Hysteresis for evaluation of event C1.
,Threshold CSI-RSRP,dBm,-90,Actual RSRP threshold for event C1. Needs to take absolute accuracy tolerance in clause 9.1.14.3 into account plus margin.
,Time To Trigger,s,0,
Cell-individual offset for cells on RF channel number 1,,dB,0,Individual offset for cells on primary component carrier.
Cell-individual offset for cells on RF channel number 2,,dB,0,Individual offset for cells on secondary component carrier.
Filter coefficient,,,0,L3 filtering is not used
SCell measurement cycle (measCycleSCell),,ms,320,
T1,,s,5,
T2,,s,5,
T3,,s,10,
NOTE:This test verifies the RRM requirement which is independent of channel bandwidth and is performed according to the principle defined in section A.3.6.1.,,,,
