Parameter,Unit,Value,Comment
E-UTRA RF Channel Number,,"1, 2, 3, 4",Four radio channels are used for this test
Active PCell,,Cell 1,Primary cell on RF channel number 1.
Deconfigured deactivated SCell,,Cell 2,Deconfigured deactivated secondary cell on RF channel number 2.
Configured deactivated SCell2,,Cell 3,Configured deactivated secondary cell on RF channel number 3.
Configured deactivated SCell3,,Cell 4,Configured deactivated secondary cell on RF channel number 4.
CP length,,Normal,
DRX,,OFF,Continuous monitoring of primary cell
CQI/PMI periodicity and offset configuration index,,0,CQI reporting for SCell every UL subframe
Cell-individual offset for cells on RF channel number 1,dB,0,Individual offset for cells on PCC.
Cell-individual offset for cells on RF channel number 2,dB,0,Individual offset for cells on SCC1.
Cell-individual offset for cells on RF channel number 3,dB,0,Individual offset for cells on SCC2.
Cell-individual offset for cells on RF channel number 4,dB,0,Individual offset for cells on SCC3.
Filter coefficient,,0,L3 filtering is not used.
SCell measurement cycle (measCycleSCell),ms,320,
T1,s,7,"During this time the PCell, SCell2 and SCell3 shall be known and the SCell1 configured and detected."
T2,s,1,"During this time the UE shall activate the SCell1, SCell2, and SCell3."
T3,s,1,"During this time the UE shall deactivate the SCell1, SCell2, and SCell3."
