Parameter,Unit,Value,Comment
Active cell,,Cell 1,
Neighbour cell,,Cell 2,Cell to be identified.
E-UTRA RF Channel Number,,1,One TDD carrier frequency is used.
Special subframe configuration,,6,As specified in table 4.2-1 in TS 36.211. The same configuration in both cells
Uplink-downlink configuration,,1,As specified in table 4.2-2 in TS 36.211. The same configuration in both cells
DMTC period,ms,160,As specified in IE MeasDS-Config in TS 36.331
dmtc-PeriodOffset,ms,10,As specified in IE MeasDS-Config in TS 36.331
Discovery signal occasion duration,ms,2,As specified in IE MeasDS-Config in TS 36.331
A3-Offset,dB,-6,
CP length,,Normal,
Hysteresis,dB,0,
Time To Trigger,s,0,
Filter coefficient,,0,L3 filtering is not used
DRX,,ON,DRX related parameters are defined in Table A.8.22.2.1-3
T1,s,5,
T2,s,10,
