Parameter,Unit,Value,Comment
PDSCH parameters,,DL Reference Measurement Channel R.0 TDD,As specified in clause A.3.1.1.2
PCFICH/PDCCH/PHICH parameters,,DL Reference Measurement Channel R.6 TDD,As specified in clause A.3.1.2.2
Gap Pattern Id,,3,As specified in TS 36.133 clause 8.1.2.1.
Special subframe configuration,,6,As specified in table 4.2-1 in TS 36.211. The same configuration in both cells
Uplink-downlink configuration,,1,As specified in TS 36.211 clause 4.2 Table 4.2-2
CP length,,Normal,
E-UTRA RF Channel Number,,"1, 2",Two TDD carrier frequencies are used.
Channel Bandwidth (BWchannel),MHz,10,
Active cell,,Cell 1,Cell 1 is on RF channel number 1
Neighbour cell,,Cell 2,Cell 2 is on RF channel number 2
A3-Offset,dB,-6,
Hysteresis,dB,0,
TimeToTrigger,s,0,
Filter coefficient,,0,L3 filtering is not used
DRX,,OFF,
T1,s,5,
T2,s,10,
