Parameter,Unit,Cell 1,,Cell 2,
,,T1,T2,T1,T2
E-UTRA RF Channel Number,,1,,,
BWchannel,MHz,10,,,
PDSCH parameters:DL Reference Measurement Channel,,R.19 TDD,,-,
MPDCCH parameters:DL Reference Measurement Channel,,R.17 TDD,,R.17 TDD,
OCNG Patterns,,OP.11 TDD,,OP.2 TDD,
PBCH_RA,dB,-3,,-3,
PBCH_RB,dB,,,,
PSS_RA,dB,,,,
SSS_RA,dB,,,,
PCFICH_RB,dB,,,,
PHICH_RA,dB,,,,
PHICH_RB,dB,,,,
MPDCCH_RA,dB,,,,
MPDCCH_RB,dB,,,,
PDSCH_RA,dB,,,,
PDSCH_RB,dB,,,,
OCNG_RANote 1,dB,,,,
OCNG_RBNote 1,dB,,,,
NocNote 2,dBm/15 kHz,-98,,,
Ês/Noc,dB,-12,-12,-Infinity,-12
Ês/Iot Note 3,dB,-12,-12.27,-Infinity,-12.27
RSRP Note 3,dBm/15 kHz,-110,-110,-Infinity,-110
SCH_RP Note 3,dBm/15 kHz,-110,-110,-Infinity,-110
Io Note 3,dBm/9 MHz,-69.95,-69.70,Specified inCell 1 columns,Specified inCell 1 columns
Propagation Condition,,ETU30,,ETU30,
Correlation Matrix and Antenna Configuration,,2x1 Low,,2x1 Low,
Time offset to Cell 1,s,-,,3,
"Note 1OCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.Note 2:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for Noc to be fulfilled.Note 3:Ês/Iot, RSRP, SCH_RP and Io levels have been derived from other parameters for information purposes. They are not settable parameters themselves.Note 4:The resources for uplink transmission are assigned to the UE prior to the start of time period T2.",,,,,
