Parameter,Unit,Test 1,Test 2,Comment
,,Value,,
PDSCH parameters (E-UTRAN TDD),,DL Reference Measurement Channel R.0 TDD,,As specified in clause A.3.1.1.2. Note that UE may only be allocated at On Duration
PCFICH/PDCCH/PHICH parameters (E-UTRAN TDD),,DL Reference Measurement Channel R.6 TDD,,As specified in clause A.3.1.2.2.
Gap Pattern Id,,0,,As specified in TS 36.133 clause 8.1.2.1.
Active cell,,Cell 1,,Cell 1 is on E-UTRA RF channel number 1.
Neighbour cell,,Cell 2,,Cell 2 is on Absolute RF Channel Number 1 (GSM cell)
Special subframe configuration,,6,,As specified in table 4.2-1 in TS 36.211.
Uplink-downlink configuration,,1,,As specified in TS 36.211 clause 4.2 Table 4.2-2
CP length,,Normal,,Applicable to cell 1
E-UTRA RF Channel Number,,1,,One E-UTRA TDD carrier frequency is used.
E-UTRA Channel Bandwidth (BWchannel),MHz,10,,
Inter-RAT (GSM) measurement quantity,,GSM Carrier RSSI,,
B1-Threshold-GERAN,dBm,-80,,GSM Carrier RSSI threshold for event B1.
Hysteresis,dB,0,,
TimeToTrigger,s,0,,
Filter coefficient,,0,,L3 filtering is not used
PRACH configuration,,4,,As specified in table 5.7.1-2 in TS 36.211
Access Barring Information,-,Not Sent,,No additional delays in random access procedure.
DRX,,ON,,DRX related parameters are defined in Table A.8.10.2.1-3
Monitored GSM cell list size,,6 GSM neighbours including ARFCN 1,,List of GSM cells provided before T2 starts.
T1,s,5,,
T2,s,5,45,
