Parameter,Unit,Cell 2,
,,T1,T2
UTRA RF Channel Number,,1,
CPICH_Ec/Ior,dB,-10,
PCCPCH_Ec/Ior,dB,-12,
SCH_Ec/Ior,dB,-12,
PICH_Ec/Ior,dB,-15,
DPCH_Ec/Ior,dB,N/A,
OCNS,,-0.941,
,dB,-Infinity,-1.8
,dBm/3.84 MHz,-70,
CPICH_Ec/Io,dB,-Infinity,-14
Propagation Condition,,Case 5 (Note 3),
Note 1:The DPCH level is controlled by the power control loop.Note 2:The power of the OCNS channel that is added shall make the total power from the cell to be equal to Ior Note3:Case 5 propagation conditions are defined in Annex A of 3GPP TS 25.101.,,,
