Parameter,Unit,Value,Comment
PDSCH parameters,,DL Reference Measurement Channel R.3 FDD,As specified in section A.3.1.1.1
PCFICH/PDCCH/PHICH parameters,,DL Reference Measurement Channel R.6 FDD,As specified in section A.3.1.2.1
E-UTRA RF Channel Number,,"1, 2",Two FDD carrier frequencies are used.
Channel Bandwidth (BWchannel),MHz,10,
Active PCell,,Cell 1,Cell 1 is on RF channel number 1
Neighbour cell,,Cell 2,Cell 2 is on RF channel number 2
A3-Offset,dB,-6,
Hysteresis,dB,0,
CP length,,Normal,
TimeToTrigger,s,0,
Filter coefficient,,0,L3 filtering is not used
DRX,,OFF,OFF
Time offset between cells,,3 ms,Asynchronous cells
T1,s,5,
T2,s,5,
