Parameter,Unit,Cell 1,,,Cell 2,,,Cell 3,,
,,T1,T2,T3,T1,T2,T3,T1,T2,T3
E-UTRA RF Channel Number,,1,,,2,,,3,,
BWchannel,MHz,"5MHz: NRB,c = 2510MHz: NRB,c = 5020MHz: NRB,c = 100",,,"5MHz: NRB,c = 2510MHz: NRB,c = 5020MHz: NRB,c = 100",,,"5MHz: NRB,c = 2510MHz: NRB,c = 5020MHz: NRB,c = 100",,
PDSCH parameters defined in A.3.1.1.1,,5MHz: R.7 FDD10MHz: R.3 FDD20MHz: R.6 FDD,,,"5MHz: R.7 FDD, 10MHz: R.3 FDD, 20MHz: R.6 FDD",,,-,,
PCFICH/PDCCH/PHICH parameters defined in A.3.1.2.1,,5MHz: R.11 FDD10MHz: R.6 FDD20MHz: R.10 FDD,,,5MHz: R.11 FDD10MHz: R.6 FDD20MHz: R.10 FDD,,,5MHz: R.11 FDD10MHz: R.6 FDD20MHz: R.10 FDD,,
OCNG Patterns defined in A.3.2.1,,5MHz: OP.20 FDD10MHz: OP.10 FDD20MHz: OP.17 FDD,,,5MHz: OP.20 FDD10MHz: OP.10 FDD20MHz: OP.17 FDD,,,5MHz: OP.16 FDD10MHz: OP.2 FDD20MHz: OP.12 FDD,,
PBCH_RA,dB,0,,,0,,,0,,
PBCH_RB,dB,,,,,,,,,
PSS_RA,dB,,,,,,,,,
SSS_RA,dB,,,,,,,,,
PCFICH_RB,dB,,,,,,,,,
PHICH_RA,dB,,,,,,,,,
PHICH_PB,dB,,,,,,,,,
PDCCH_RA,dB,,,,,,,,,
PDCCH_PB,dB,,,,,,,,,
PDSCH_RA,dB,,,,,,,,,
PDSCH_RB,dB,,,,,,,,,
OCNG_RANote 1,dB,,,,,,,,,
OCNG_RBNote 1,dB,,,,,,,,,
Note 2,dBm/15 KHz,-98,,,-98,,,-98,,
,dB,4,4,4,4,4,4,-Infinity,7,7
Note 3,dB,4,4,4,4,4,4,-Infinity,7,7
RSRP Note 3,dBm/15 KHz,-94,-94,-94,-94,-94,-94,-Infinity,-91,-91
SCH_RP Note3,dBm/15 KHz,-94,-94,-94,-94,-94,-94,-Infinity,-91,-91
Io Note 3,dBm/Ch BW,"-64.76 +10log(NRB,c /50)","-64.76 +10log(NRB,c /50)","-64.76 +10log(NRB,c /50)","-64.76 +10log(NRB,c /50)","-64.76 +10log(NRB,c /50)","-64.76 +10log(NRB,c /50)","-70.22 +10log(NRB,c /50)","-62.42 +10log(NRB,c /50)","-62.42 +10log(NRB,c /50)"
Propagation Condition,,AWGN,,,AWGN,,,AWGN,,
Correlation Matrix and Antenna Configuration,,1x2 Low,,,1x2 Low,,,1x2 Low,,
timing offset to cell1,μs,-,,,33,,,3,,
"Note 1:OCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.Note 2:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.Note 3: , RSRP, Io and SCH_RP levels have been derived from other parameters for information purposes. They are not settable parameters themselves.",,,,,,,,,,
