Parameter,Unit,Value,Comment
PDSCH parameters,,DL Reference Measurement Channel R.0 TDD,As specified in clause A.3.1.1.2
PCFICH/PDCCH/PHICH parameters,,DL Reference Measurement Channel R.6 TDD,As specified in clause A.3.1.2.2
E-UTRA RF channel number,,"1, 2",Two TDD carrier frequencies are used.
Channel Bandwidth (BWchannel),MHz,10,
Active cell,,Cell 1,Cell 1 is on RF channel number 1.
Neighbour cell,,Cell 2,Cell 1 is on RF channel number 2.
CP length,,Normal,
Special subframe configuration,,6,As specified in table 4.2-1 in TS 36.211. The same configuration in both cells
Uplink-downlink configuration,,1,As specified in table 4.2-2 in TS 36.211. The same configuration in both cells
Gap Pattern Id,,0,As specified in TS 36.133 clause 8.1.2.1.
A3-Offset,dB,-6,
Hysteresis,dB,0,
TimeToTrigger,s,0,
Filter coefficient,,0,L3 filtering is not used
DRX,,ON,DRX related parameters are defined in Table A.8.4.5.1-3
si-RequestForHO,,TRUE,As specified in clause 5.5.3.1 in TS 36.331.
Time offset between cells,s,3,Synchronous cells
T1,s,5,
T2,s,30,UE shall report cell within 25.6s (20 DRX cycles)
T3,s,5,
