Parameter,Unit,Cell 1,,,,Cell 2,,
,,T1,T2,T3,,T1,T2,T3
E-UTRA RF Channel Number,,1,,,,1,,
BWchannel,MHz,10,,,,10,,
Correlation Matrix and Antenna Configuration,,2x1,,,,2x1,,
OCNG Patterns defined in A.3.2.1.1 (OP.1 FDD) and in A.3.2.1.2 (OP.2  FDD),,OP.1 FDD,OP.1 FDD,OP.1 FDD,,OP.2 FDD,OP.2 FDD,OP.2 FDD
PBCH_RA,dB,-3,,,,-3,,
PBCH_RB,dB,,,,,,,
PSS_RA,dB,,,,,,,
SSS_RA,dB,,,,,,,
PCFICH_RB,dB,0,,,,0,,
PHICH_RA,dB,-3,,,,-3,,
PHICH_PB,dB,,,,,,,
PDCCH_RA,dB,0,,,,0,,
PDCCH_PB,dB,,,,,,,
PDSCH_RA,dB,-3,,,,-3,,
PDSCH_RB,dB,,,,,,,
OCNG_RANote 1,dB,,,,,,,
OCNG_RBNote 1,dB,,,,,,,
,dB,8,-3.3,-3.3,,-Infinity,2.36,2.36
Note 2,dBm/15 KHz,-98,,,,,,
,dB,8,8,8,,-Infinity,11,11
RSRP Note 3,dBm/15 KHz,-90,-90,-90,,-Infinity,-87,-87
SCH_RP Note3,dBm/15 KHz,-90,-90,-90,,-Infinity,-87,-87
Propagation Condition,,AWGN,,,,,,
Timing offset to Cell 1,ms,-,,,3,,,
Note 1:OCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.Note 2:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.Note 3:RSRP and SCH_RP levels have been derived from other parameters for information purposes. They are not settable parameters themselves.,,,,,,,,
