Parameter,Unit,Value,Comment
PDSCH parameters,,DL Reference Measurement Channel R.0 TDD,As specified in clause A.3.1.1.2
PCFICH/PDCCH/PHICH parameters,,DL Reference Measurement Channel R.6 TDD,As specified in clause A.3.1.2.2
Active cell,,Cell 1,E-UTRA TDD cell is on RF channel number 1
Neighbour cell,,Cell 2,E-UTRA TDD cell is on RF channel number 2
,,Cell 3,1.28Mcps TDD cell
CP length of cell1  and cell2,,Normal,
Uplink-downlink configuration of cell1 and cell2,,1,As specified in Table 4.2-2 in TS 36.211. The same configuration in both cells
Special subframe configuration of cell1  and cell2,,6,As specified in table 4.2-1 in TS 36.211. The same configuration in both cells
Gap Pattern Id,,0,As specified in TS 36.133 clause 8.1.2.1.
E-UTRAN TDD measurement quantity,,RSRP,
UTRAN TDD measurement quantity,,RSCP,
DRX,,OFF,
Ofn,dB,0,Parameter for A3 and B2 event
Ocn,dB,0,Parameter for A3 event
Hysteresis,dB,0,Parameter for A3 and B2 event
Ofs,dB,0,Parameter for A3 event
Ocs,dB,0,Parameter for A3 event
A3-Offset,dB,-6,Parameter for A3 event
Thresh1,dBm,-86,Absolute E-UTRAN RSRP threshold for event B2
Thresh2,dBm,-84,Absolute UTRAN RSCP threshold for event B2
TimeToTrigger,s,0,
Filter coefficient,,0,L3 filtering is not used
Time offset between E-UTRAN TDD cells,s,3,Synchronous cells
T1,s,>5,"During T1, cell 2 and cell 3 shall be powered off. During the off time the physical layer cell identity of cell 2 shall be changed, and the primary scrambling code of cell 3 shall be changed."
T2,s,15,
