Parameter,Unit,Value,Comment
PDSCH parameters (E-UTRAN TDD),,DL Reference Measurement Channel R.0 TDD,As specified in clause A.3.1.1.2.
PCFICH/PDCCH/PHICH parameters (E-UTRAN TDD),,DL Reference Measurement Channel R.6 TDD,As specified in clause A.3.1.2.2.
Gap Pattern Id,,0,As specified in TS 36.133 clause 8.1.2.1.
Active cell,,Cell 1,Cell 1 is on E-UTRA RF channel number 1.
Neighbour cell,,Cell 2,Cell 2 is on UTRA RF channel number 1.
Special subframe configuration,,6,As specified in table 4.2-1 in TS 36.211. Applicable to cell 1.
Uplink-downlink configuration,,1,As specified in table 4.2-2 in TS 36.211. Applicable to cell 1.
CP length,,Normal,Applicable to cell 1.
E-UTRA RF Channel Number,,1,One E-UTRA TDD carrier frequency is used.
E-UTRA Channel Bandwidth (BWchannel),MHz,10,
UTRA RF Channel Number,,1,One UTRA FDD carrier frequency is used.
Inter-RAT (UTRA FDD) measurement quantity,,CPICH Ec/Io,
b1-Threshold-UTRA,dB,-18,CPICH Ec/Io threshold for event B1.
Hysteresis,dB,0,
Time To Trigger,ms,0,
Filter coefficient,,0,L3 filtering is not used.
DRX,,OFF,
SIB3_REP,Frames,32,Applicable for cell 2 SIB3 scheduling.
SIB3 SEG_COUNT,,1,Applicable for cell 2 SIB3 scheduling.
si-RequestForHO,,TRUE,As specified in clause 5.5.3.1 in TS 36.331.
Monitored UTRA FDD cell list size,,12,UTRA cells on UTRA RF channel 1 provided in the cell list.
CSG id (of cell 2),,Set to any non-empty value,
T1,s,5,
T2,s,10,
T3,s,5,
