Parameter,Unit,Cell 3,,Cell 4,,
,,T1,T2,T1,T2,
E-UTRA RF Channel Number,,"Randomly selected from 2,3,4,5,6,7,8 such that cell 3 is in the normal performance group",,"Randomly selected from 2,3,4,5,6,7,8 such that cell 4 is in the normal performance group",,
BWchannel,MHz,5MHz: NRB = 2510MHz: NRB = 50,,"5MHz: NRB,= 2510MHz: NRB,= 50",,
Correlation Matrix and Antenna Configuration,,1x2 Low,,1x2 Low,,
Measurement bandwidth,,5MHz: 10-1510MHz: 22-27,,5MHz: 10-1510MHz: 22-27,,
PDSCH Reference measurement channel defined in A.3.1.1.,,-,,-,,
PDSCH allocation,,-,,-,,
PDCCH/PCFICH/PHICH Reference measurement channel defined in A.3.1.2.,,5MHz: R.11 TDD10MHz: R.6 TDD,,5MHz: R.11 TDD10MHz: R.6 TDD,,
OCNG Patterns defined in A.3.2.,,5MHz: OP.16 TDD10MHz: OP.2 TDD,,5MHz: OP.16 TDD10MHz: OP.2 TDD,,
PBCH_RA,dB,0,,0,,
PBCH_RB,dB,,,,,
PSS_RA,dB,,,,,
SSS_RA,dB,,,,,
PCFICH_RB,dB,,,,,
PHICH_RA,dB,,,,,
PHICH_RB,dB,,,,,
PDCCH_RA,dB,,,,,
PDCCH_RB,dB,,,,,
PDSCH_RA,dB,,,,,
PDSCH_RB,dB,,,,,
OCNG_RANote 1,dB,,,,,
OCNG_RBNote 1,dB,,,,,
Note 3,dBm/15 kHz,-98,,-98,,
,dB,-Infinity,7,-Infinity,,7
,dB,-Infinity,7,-Infinity,,7
RSRP Note 4,dBm/15 kHz,-Infinity,-91,-Infinity,,-91
SCH_RP Note 4,dBm/15 kHz,-infinity,-91,-infinity,,-91
IoNote 4,dBm/ BWchannel,"-70.22+10log(NRB,c/50)","-62.43+10log(NRB,c/50)","-70.22+10log(NRB,c/50)",,"-62.43+10log(NRB,c/50)"
Propagation Condition,,ETU70,,ETU70,,
Correlation Matrix and Antenna Configuration,,1x2 Low,,1x2 Low,,
Timing offset to cell 1,ms,3,,3,,
Note 1:OCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.Note 2:The resources for uplink transmission are assigned to the UE priori to the start of time period T2.Note 3:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.Note 4:RSRP and SCH_RP levels have been derived from other parameters for information purposes. They are not settable parameters themselves.,,,,,,
