Parameter,Unit,Cell 1,,Cell 2,
,,T1,T2,T1,T2
E-UTRA RF Channel Number,,1,,2,
BWchannel,MHz,10,,10,
PDSCH parameters:DL Reference Measurement Channel,,R.11 HD-FDD,,-,
MPDCCH parameters:DL Reference Measurement Channel,,R.7 HD-FDD,,R.7 HD-FDD,
OCNG Patterns,,OP.21 FDD,,OP.6 FDD,
PBCH_RA,dB,-3,,-3,
PBCH_RB,dB,,,,
PSS_RA,dB,,,,
SSS_RA,dB,,,,
PCFICH_RB,dB,,,,
PHICH_RA,dB,,,,
PHICH_RB,dB,,,,
MPDCCH_RA,dB,,,,
MPDCCH_RB,dB,,,,
PDSCH_RA,dB,,,,
PDSCH_RB,dB,,,,
OCNG_RANote 1,dB,,,,
OCNG_RBNote 1,dB,,,,
Note 2,dBm/15 KHz,-98,,-98,
,dB,4,4,-Infinity,4
Note 3,dB,4,4,-Infinity,4
RSRP Note 3,dBm/15 KHz,-94,-94,-Infinity,-94
SCH_RP Note 3,dBm/15 KHz,-94,-94,-Infinity,-94
Io Note 3,dBm/9MHz,-64.76,-64.76,-Infinity,-64.76
Propagation Condition,,ETU30,,ETU30,
Correlation Matrix and Antenna Configuration,,2x1 Low,,2x1 Low,
Timing offset to Cell 1,ms,-,,3,
"Note 1:OCNG shall be used such that all cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.Note 2:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for Noc to be fulfilled.Note 3:Es/Iot, RSRP, SCH_RP and Io have been derived from other parameters for information purposes. They are not settable parameters themselves.Note 4:The resources for uplink transmission are assigned to the UE prior to the start of time period T2.",,,,,
