Parameter,Unit,Test 1,Test 2,Comment
,,Value,,
PDSCH parameters,,DL Reference Measurement Channel R.0 FDD,,As specified in clause A.3.1.1.1 Note that UE may only be allocated at On Duration
PCFICH/PDCCH/PHICH parameters,,DL Reference Measurement Channel R.6 FDD,,As specified in clause A.3.1.2.1.
E-UTRA RF Channel Number,,"1, 2",,Two FDD carrier frequencies are used.
Channel Bandwidth (BWchannel),MHz,10,,
Active cell,,Cell 1,,Cell 1 is on RF channel number 1
Neighbour cell,,Cell 2,,Cell 2 is on RF channel number 2
Gap Pattern Id,,0,,As specified in TS 36.133 clause 8.1.2.1.
A3-Offset,dB,-6,,
Hysteresis,dB,0,,
CP length,,Normal,,
TimeToTrigger,s,0,,
Filter coefficient,,0,,L3 filtering is not used
PRACH configuration,,4,,As specified in table 5.7.1-2 in TS 36.211
Access Barring Information,-,Not Sent,,No additional delays in random access procedure.
DRX,,ON,,DRX related parameters are defined in Table A.8.3.2.1-3
Time offset between cells,,3 ms,,Asynchronous cells
T1,s,5,,
T2,s,5,30,
