Parameter,Unit,Value,Comment
PDSCH parameters (E-UTRAN FDD),,DL Reference Measurement Channel R.0 FDD,As specified in clause A.3.1.1.1.
PCFICH/PDCCH/PHICH parameters(E-UTRAN FDD),,DL Reference Measurement Channel R.6 FDD,As specified in clause A.3.1.2.1.
Gap Pattern Id,,0,As specified in TS 36.133 clause 8.1.2.1.
Active cell,,Cell 1,Cell 1 is on E-UTRA RF channel number 1.
Neighbour cell,,Cell 2,Cell 2 is on Absolute RF Channel Number 1 (GSM cell)
CP length,,Normal,Applicable to cell 1
E-UTRA RF Channel Number,,1,One E-UTRA FDD carrier frequency is used.
E-UTRA Channel Bandwidth (BWchannel),MHz,10,
Inter-RAT (GSM) measurement quantity,,GSM Carrier RSSI,
b1-Threshold-GERAN,dBm,-80,GSM Carrier RSSI threshold for event B1.
Hysteresis,dB,0,
Time To Trigger,ms,0,
Filter coefficient,,0,L3 filtering is not used.
DRX,,OFF,
Monitored GSM cell list size,,6 GSM neighbours including ARFCN 1,List of GSM cells provided before T2 starts.
T1,s,5,T1 ends at the end of the last TTI where the measurement configuration is given
T2,s,3,
