Parameter,Unit,Value,Comment
,,Test 1,
Active cell,,Cell 1,
Neighbour cell,,Cell 2,Cell to be identified.
E-UTRA RF Channel Number,,"1,2",Two FDD carrier frequency is used.
Gap Pattern Id,,0,As specified in TS 36.133 clause 8.1.2.1.
Gap Offset,,9,As specified in TS 36.331 clause 6.3.5
DMTC period [2],ms,160,
DMTC period offset [2],ms,10,
Discovery signal occasion duration,ms,1,
C1 Threshold,dB,-96,
CP length,,Normal,
Hysteresis,dB,0,
Time To Trigger,s,0,
Filter coefficient,,0,L3 filtering is not used
DRX,,ON,DRX related parameters are defined in Table A.8.22.7.1-3
T1,s,5,
T2,s,10,
