Parameter,Unit,Value,Comment
PDSCH parameters,,DL Reference Measurement Channel R.0 FDD,As specified in clause A.3.1.1.1
PCFICH/PDCCH/PHICH parameters,,DL Reference Measurement Channel R.6 FDD,As specified in clause A.3.1.2.1
Active cell,,Cell 1,
Neighbour cell,,Cell 2,Cell to be identified.
E-UTRA RF Channel Number,,"1, 2",Two FDD carrier frequencies are used.
Channel Bandwidth (BWchannel),MHz,10,
Gap Pattern Id,,1,As specified in TS 36.133 clause 8.1.2.1.
Neighbour A3-Offset Ofn,dB,-14,
CP length,,Normal,
Hysteresis,dB,0,
Time To Trigger,s,0,
Filter coefficient,,9,L3 filtering is used
DRX,,ON,DRX related parameters are defined in Table A.8.3.3.1-3
Time offset between cells,,3 ms,Asynchronous cells
T1,S,30,
T2,S,9,
