Parameter,Unit,Combination,Cell 1,,,Cell 2,,,,Cell 3,
,,,T1,T2,,T1,T2,,,T1,T2
E-UTRA RF Channel Number,,All,1,,,2,,,,3,
BWchannel,MHz,20MHz+10MHz,"20MHz: NRB,c = 100",,,"10MHz: NRB,c = 50",,,,"10MHz: NRB,c = 50",
,,10MHz+20MHz,"10MHz: NRB,c = 50",,,"20MHz: NRB,c = 100",,,,"20MHz: NRB,c = 100",
Correlation Matrix and Antenna Configuration,,All,1x2 Low,,,1x2 Low,,,,1x2 Low,
PDSCH Reference measurement channel defined in A.3.1.1.2,,20MHz+10MHz,DL Reference Measurement Channel R.3 TDD,,,N/A,,,,DL Reference Measurement Channel R.0 TDD,
,,10MHz+20MHz,DL Reference Measurement Channel R.0 TDD,,,N/A,,,,DL Reference Measurement Channel R.3 TDD,
PDCCH/PCFICH/PHICH Reference measurement channel defined in A.3.1.2.2,,20MHz+10MHz,DL Reference Measurement Channel R.10 TDD,,,DL Reference Measurement Channel R.6 TDD,,,,DL Reference Measurement Channel R.6 TDD,
,,10MHz+20MHz,DL Reference Measurement Channel R.6 TDD,,,DL Reference Measurement Channel R.10 TDD,,,,DL Reference Measurement Channel R.10 TDD,
OCNG Pattern defined in A.3.2.2 (TDD),,20MHz+10MHz,OP.7 TDD,,,OP.2 TDD,,,,OP.1 TDD,
,,10MHz+20MHz,OP.1 TDD,,,OP.8 TDD,,,,OP.7 TDD,
PBCH_RA,dB,All,0,,,0,,,,0,
PBCH_RB,dB,,,,,,,,,,
PSS_RA,dB,,,,,,,,,,
SSS_RA,dB,,,,,,,,,,
PCFICH_RB,dB,,,,,,,,,,
PHICH_RA,dB,,,,,,,,,,
PHICH_RB,dB,,,,,,,,,,
PDCCH_RA,dB,,,,,,,,,,
PDCCH_RB,dB,,,,,,,,,,
PDSCH_RA,dB,,,,,,,,,,
PDSCH_RB,dB,,,,,,,,,,
OCNG_RANote 1,dB,,,,,,,,,,
OCNG_RBNote 1,dB,,,,,,,,,,
,dB,All,4,,4,-Infinity,,,7,4,4
Note 3,dBm/15 kHz,All,-98,,,-98,,,,-98,
RSRP Note 4,dBm/15 kHz,All,-94,-94,,-Infinity,,-91,,-94,-94
SCH_RP Note 4,dBm/15 kHz,All,-94,-94,,-infinity,,-91,,-94,-94
,dB,All,4,4,,-Infinity,,7,,4,4
Propagation Condition,,All,ETU70,,,ETU70,,,,ETU70,
"Note 1:OCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.Note 2:The resources for uplink transmission are assigned to the UE priori to the start of time period T2.Note 3:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.Note 4:Es/Iot, RSRP and SCH_RP levels have been derived from other parameters for information purposes. They are not settable parameters themselves.",,,,,,,,,,,
