Parameter,,Unit,Value,Comment
E-UTRA RF Channel Number,,,"1, 2",Two radio channels are used for this test
Active PCell,,,Cell 1,Primary cell on RF channel number 1.
Configured deactivated SCell,,,Cell 2,Configured deactivated secondary cell on RF channel number 2.
Neighbour cell,,,Cell 3,Neighbor cell to be identified on RF channel number 2.
CP length,,,Normal,
DRX,,,OFF,Continuous monitoring of primary cell
DMTC period,,ms,160,As specified in IE MeasDS-Config in TS 36.331
dmtc-PeriodOffset for cells 2 and 3,,ms,10,As specified in IE MeasDS-Config in TS 36.331
Discovery signal occasion duration,,ms,1,As specified in IE MeasDS-Config in TS 36.331
A2,Hysteresis,dB,0,Hysteresis for evaluation of event A2.
,Threshold RSRP,dBm,-93,Actual RSRP threshold for event A2. Needs to take absolute accuracy tolerance in clause 9.1.14.2 into account plus margin.
,Time To Trigger,s,0,
A6,Hysteresis,dB,0,Hysteresis for evaluation of event A6.
,Offset,dB,-6,Offset parameter for evaluation of event A6. Needs to take relative accuracy tolerance in clause 9.1.14.2 into account plus margin.
,Report on leave,,False,
,Time To Trigger,s,0,
Cell-individual offset for cells on RF channel number 1,,dB,0,Individual offset for cells on primary component carrier.
Cell-individual offset for cells on RF channel number 2,,dB,0,Individual offset for cells on secondary component carrier.
Filter coefficient,,,0,L3 filtering is not used
SCell measurement cycle (measCycleSCell),,ms,320,
T1,,s,10,
T2,,s,10,
T3,,s,5,
NOTE:This test verifies the RRM requirement which is independent of channel bandwidth and is performed according to the principle defined in section A.3.6.1.,,,,
