Parameter,Unit,Value,Comment
PDSCH parameters,,DL Reference Measurement Channel R.0 TDD,As specified in clause A.3.1.1.2
PCFICH/PDCCH/PHICH parameters,,DL Reference Measurement Channel R.6 TDD,As specified in clause A.3.1.2.2
Active cell,,Cell 1,
Neighbour cell,,Cell 2,Cell to be identified.
E-UTRA RF Channel Number,,"1, 2",Two TDD carrier frequencies are used.
Channel Bandwidth (BWchannel),MHz,10,
Time offset between cells,μs,3,synchronous cells
Gap Pattern Id,,1,As specified in TS 36.133 clause 8.1.2.1.
Uplink-downlink configuration of cells,,1,As specified in table 4.2.2 in TS 36.211
Special subframe configuration of cells,,6,As specified in table 4.2.1 in TS 36.211
Neighbour A3-Offset Ofn,dB,-14,
CP length,,Normal,
Hysteresis,dB,0,
Time To Trigger,s,0,
Filter coefficient,,9,L3 filtering is used
DRX,,ON,DRX related parameters are defined in Table A.8.4.3.1-3
T1,s,30,
T2,s,9,
