Parameter,,Unit,Value,Comment
E-UTRA RF Channel Number,,,"1, 2, 3",Three radio channels are used for this test
Active PCell,,,Cell 1,Primary cell on RF channel number 1.
Configured deactivated SCell,,,Cell 2,Configured deactivated secondary cell on RF channel number 2.
Configured deactivated SCell,,,Cell 3,Configured deactivated secondary cell on RF channel number 3.
Neighbour cell,,,Cell 4,Neighbor cell to be identified on RF channel number 3.
CP length,,,Normal,
DRX,,,OFF,Continuous monitoring of primary cell
A6,Hysteresis,dB,0,Hysteresis for evaluation of event A6.
,Offset,dB,-3,Offset parameter for evaluation of event A6. Needs to take relative accuracy tolerance in clause 9.1.11.2 into account plus margin.
,Report on leave,,False,
,Time To Trigger,s,0,
Cell-individual offset for cells on RF channel number 1,,dB,0,Individual offset for cells on primary component carrier.
Cell-individual offset for cells on RF channel number 2,,dB,0,Individual offset for cells on secondary component carrier.
Cell-individual offset for cells on RF channel number 3,,dB,0,Individual offset for cells on secondary component carrier.
Filter coefficient,,,0,L3 filtering is not used
SCell measurement cycle,,ms,640,
T1,,s,4,"During this time the UE shall be aware of cells 1, 2 and 3 but not cell 4."
T2,,s,≤15,UE should report Event A6 within 12.8s (20×scellMeasCycle)
T3,,s,4,During this time the UE shall activate cell 2
T4,,s,≤4,UE should report Event A6 within 3.2s (5×scellMeasCycle)
