Parameter,Unit,Cell 1,,,Cell 2,,,
,,T1,T2,T3,T1,T2,,T3
E-UTRA RF Channel Number,,1,,,2,,,
TDD special subframe configuration,,-,,,6,,,
TDD uplink-downlink configuration,,-,,,1,,,
BWchannel,MHz,"5MHz: NRB,c = 2510MHz: NRB,c = 5020MHz: NRB,c = 100",,,"5MHz: NRB,c = 2510MHz: NRB,c = 5020MHz: NRB,c = 100",,,
PDSCH parameters:DL Reference Measurement Channel,,5MHz: R.7 FDD 10MHz: R.3 FDD20MHz: R.6 FDD,,,-,,,
PCFICH/PDCCH/PHICH parameters:DL Reference Measurement Channel,,5MHz: R.11 FDD 10MHz: R.6 FDD20MHz: R.10 FDD,,,5MHz: R.11 TDD 10MHz: R.6 TDD20MHz: R.10 TDD,,,
OCNG Patterns,,5MHz: OP.20 FDD 10MHz: OP.10 FDD20MHz: OP.17 FDD,,,5MHz: OP.10 TDD 10MHz: OP.2 TDD20MHz: OP.8 TDD,,,
PBCH_RA,dB,0,,,0,,,
PBCH_RB,dB,,,,,,,
PSS_RA,dB,,,,,,,
SSS_RA,dB,,,,,,,
PCFICH_RB,dB,,,,,,,
PHICH_RA,dB,,,,,,,
PHICH_RB,dB,,,,,,,
PDCCH_RA,dB,,,,,,,
PDCCH_RB,dB,,,,,,,
PDSCH_RA,dB,,,,,,,
PDSCH_RB,dB,,,,,,,
OCNG_RANote 1,dB,,,,,,,
OCNG_RBNote 1,dB,,,,,,,
NocNote 2,dBm/15 kHz,-104,,,-104,,,
Ês/Noc,dB,17,,,-Infinity,,17,
Ês/Iot,dB,17,,,-Infinity,,17,
RSRP Note 3,dBm/15 kHz,-87,,,-Infinity,,-87,
SCH_RP Note 3,dBm/15 kHz,-87,,,-Infinity,,-87,
Io Note 3,dBm/Ch BW,"-59.13+10log(NRB,c /50)",,,"-76.22+10log(NRB,c /50)",,"-59.13+10log(NRB,c /50)",
Propagation Condition,,AWGN,,,AWGN,,,
Antenna Configuration,,1x2,,,1x2,,,
Timing offset to Cell 1,s,-,,,0,,,
Time alignment error relative to cell 1 Note 5,s,-,,,≤ TAE,,,
"Note 1:OCNG shall be used such that all cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.Note 2:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for Noc to be fulfilled.Note 3:Es/Iot, RSRP, SCH_RP and Io levels have been derived from other parameters for information purposes. They are not settable parameters themselves.Note 4:The uplink resources for CSI reporting are assigned to the UE prior to the start of time period T2.Note 5:Time alignment error (TAE) as specified in TS 36.104 [30] clause 6.5.3.1. The TAE value depends upon the type of carrier aggregation.",,,,,,,,
