Parameter,Unit,Value,Comment
E-UTRA RF Channel Number,,"1, 2",Two radio channels are used for this test
Active PCell,,Cell 1,Primary cell on RF channel number 1.
Active SCell,,Cell 2,Configured activated secondary cell on RF channel number 2.
Neighbour cell,,Cell 3,Neighbor cell to be identified on RF channel number 2.
DMTC period,ms,40,As specified in IE MeasDS-Config in TS 36.331
dmtc-PeriodOffset,ms,10,As specified in IE MeasDS-Config in TS 36.331
Discovery signal occasion duration,ms,1,As specified in IE MeasDS-Config in TS 36.331
CP length,,Normal,
A6-Offset,dB,-6,
Time To Trigger,s,0,
Filter coefficient,,0,L3 filtering is not used
DRX,,ON,DRX related parameters are defined in Table A.8.26.7.1-3
T1,s,5,
T2,s,15,During this time the UE identify a new detectable FS3 intra-frequency cell. Tidentify_intra_FS3_DRX is specified in section 8.11.2.1.1.2.
