Parameter,,Unit,Value,Comment
PDSCH parameters,,,DL Reference Measurement Channel R.0 TDD,As specified in clause A.3.1.1.2
PCFICH/PDCCH/PHICH parameters,,,DL Reference Measurement Channel R.6 TDD,As specified in clause A.3.1.2.2
PCell,,,Cell 1,Also a first interfering cell to Cell 3. Active in T1 and T2.
Neighbour cells,,,Cell 2 and Cell 3,Cell 2 is a second interfering cell; Cell 2 is active in T1 and T2.Cell 3 is the cell to be identified; Cell 3 is active only in T2.
ABS transmission configuration,,,Non-MBSFN ABS,As defined in Table A.3.4.1.1-1
E-UTRA RF Channel Number,,,1,One TDD carrier frequency is used
Channel Bandwidth (BWchannel),,MHz,10,For all cells in the test
A3-Offset,,dB,-14,
Event A3 measurement quantity,,,RSRP,
CP length,,,Normal,
Special subframe configuration,,,6,As specified in Table 4.2-1 in TS 36.211. The same configuration in both cells
Uplink-downlink configuration,,,1,As specified in Table 4.2-2 in TS 36.211. The same configuration in both cells
Hysteresis,,dB,0,
Time To Trigger,,s,0,
Filter coefficient,,,0,L3 filtering is not used
DRX,,,,OFF
Time offset between cells,,s,Cell 2 offset with respect to Cell 1: 0Cell 3 offset with respect to Cell 1: -2.5,Three synchronous cells
T1,,s,5,
T2,,s,5,
Physical cell IDs,,,(PCIcell1 - PCIcell3 )mod6 = 0(PCIcell2 - PCIcell3 )mod6 != 0PCIcell1 not equal to PCIcell3,Cell PCIs are selected so that all conditions are met
ABS pattern,,,‘00000000010000000001’,"TDD ABS Pattern Info IE, as defined in TS 36.423 [28], clause 9.2.54. The first/leftmost bit corresponds to the Pcell subframe #0 of the radio frame satisfying SFN mod x = 0, where x is the size of the bit string (20) divided by 10. No MBSFN subframes are configured in the ABS subframes.Provided fto the UE for Cell 1 and Cell 2 during T1."
Time domain measurement resource restriction pattern for neighbour cell measurements on RF Channel 1,,,‘00000000010000000001’,"Time domain measurement resource restriction pattern for neighbor cell measurement signalled to the UE in measSubframePatternNeigh IE in measSubframePatternConfigNeigh, as defined in TS 36.331, clause 6.3.5.Provided to the UE during T1 for Cell 3 measurements. The cell list in measSubframeCellList IE shall contain Cell 3 but not Cell 2."
Time domain measurement resource restriction pattern for PCell measurements,,,‘10000000001000000000’,Configured during T1 for Cell 1 measurements
CRS assistance information,physCellId,,see PCI conditions above,The CRS assistance information is provided for Cell 2 only in CRS-AssistanceInfo. It includes a single MBSFN-SubframeConfig element with subframe allocation one Frame=’000000’.
,antennaPortsCount,,1,
,mbsfn-SubframeConfigList,,oneFrame = ‘000000’,
