Parameter,Unit,Cell 1,,Cell 2,
,,T1,T2,T1,T2
E-UTRA RF Channel Number,,1,,,
BWchannel,MHz,10,,,
PDSCH parameters:DL Reference Measurement Channel,,R.17 TDD,,-,
MPDCCH parameters:DL Reference Measurement Channel,,R.15 TDD,,R.15 TDD,
OCNG Patterns,,OP.11 TDD,,OP.2 TDD,
PBCH_RA,dB,-3,,-3,
PBCH_RB,dB,,,,
PSS_RA,dB,,,,
SSS_RA,dB,,,,
PCFICH_RB,dB,,,,
PHICH_RA,dB,,,,
PHICH_RB,dB,,,,
MPDCCH_RA,dB,,,,
MPDCCH_RB,dB,,,,
PDSCH_RA,dB,,,,
PDSCH_RB,dB,,,,
OCNG_RANote 1,dB,,,,
OCNG_RBNote 1,dB,,,,
NocNote 2,dBm/15 kHz,-98,,,
Ês/Noc,dB,4,4,-Infinity,4
Ês/Iot Note 3,dB,4,-1.46,-Infinity,-1.46
RSRP Note 3,dBm/15 kHz,-94,-94,-Infinity,-94
SCH_RP Note 3,dBm/15 kHz,-94,-94,-Infinity,-94
Io Note 3,dBm/9 MHz,-64.76,-62.42,-64.76,-62.42
Propagation Condition,,ETU30,,ETU30,
Correlation Matrix and Antenna Configuration,,2x1 Low,,2x1 Low,
Time offset to Cell 1,s,-,,3,
"Note 1OCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.Note 2:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for Noc to be fulfilled.Note 3:Ês/Iot, RSRP, SCH_RP and Io levels have been derived from other parameters for information purposes. They are not settable parameters themselves.Note 4:The resources for uplink transmission are assigned to the UE prior to the start of time period T2.",,,,,
