Parameter,Unit,Value,Comment
PDSCH parameters,,DL Reference Measurement Channel R.13 TDD,As specified in clause A.3.1.1.5
PCFICH/PDCCH/PHICH parameters,,DL Reference Measurement Channel R.7 TDD,As specified in clause A.3.1.2.2
Active cell,,Cell 1,
Neighbour cell,,Cell 2,Cell to be identified.
E-UTRA RF Channel Number,,1,Only one TDD carrier frequency is used.
Channel Bandwidth (BWchannel),MHz,10,
CP length,,Normal,
Special subframe configuration,,6,As specified in table 4.2-1 in TS 36.211. The same configuration in both cells
Uplink-downlink configuration,,1,As specified in table 4.2-2 in TS 36.211. The same configuration in both cells
A3-Offset,dB,-3,
Hysteresis,dB,0,
Time To Trigger,s,0,
Filter coefficient,,0,L3 filtering is not used
DRX,,OFF,
si-RequestForHO,,TRUE,As specified in clause 5.5.3.1 in TS 36.331.
T1,s,5,
T2,s,10,
T3,s,5,
