Parameter,Unit,Cell 1,,Cell 2,,
,,T1,T2,T1,,T2
E-UTRA RF Channel Number,,1,,2,,
BWchannel,MHz,10,,10,,
Measurement bandwidth,nPRB,13-37,,13-37,,
PDSCH parameters,,DL Reference Measurement Channel R.0 TDD as in A.3.1.1.2,,,,
PCFICH/PDCCH/PHICH parameters,,DL Reference Measurement Channel R.6 TDD as in A.3.1.2.2.,,DL Reference Measurement Channel R.6 TDD as in A.3.1.2.2.,,
Correlation Matrix and Antenna Configuration,,1x2 Low,,1x2 Low,,
OCNG Patterns defined in A.3.2.1.1 (OP.1 TDD) and in A.3.2.1.2 (OP.2  TDD),,OP.1 TDD,,OP.2 TDD,,
PBCH_RA,dB,0,,0,,
PBCH_RB,dB,,,,,
PSS_RA,dB,,,,,
SSS_RA,dB,,,,,
PCFICH_RB,dB,,,,,
PHICH_RA,dB,,,,,
PHICH_PB,dB,,,,,
PDCCH_RA,dB,,,,,
PDCCH_PB,dB,,,,,
PDSCH_RA,dB,,,,,
PDSCH_RB,dB,,,,,
OCNG_RANote 1,dB,,,,,
OCNG_RBNote 1,dB,,,,,
p-C-r10 [2],dB,-6,-6,-6,,-6
Note 3,dBm/15 KHz,-98,,,,
CRS,dB,4,4,-Infinity,,7
CSI-RS,dB,10,10,-Infinity,,13
CRS,dB,4,4,-Infinity,,7
CSI-RS,dB,10,10,-Infinity,,13
RSRP Note 4,dBm/15 KHz,-94,-94,-Infinity,,-91
CSI-RSRP Note 4,dBm/15 KHz,-88,-88,-Infinity,,-85
SCH_RP Note 4,dBm/15 KHz,-94,-94,-Infinity,,-91
Io Note 4,dBm/9 MHz,-64.76,-64.76,-70.22,,-62.43
Propagation Condition,,ETU30,,,,
CSI reference signal configurations [16],,2,,,4,
CSI-RS periodicity,ms,10,,,10,
CSI-RS subframe offset,,0,,,0,
CSI-RS individual offset [2],dB,0,,,0,
CSI-RS muting,,Enable,,,Enable,
Timing offset to cell 1,us,-,,,3,
"Note 1:OCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.Note 2:The resources for uplink transmission are assigned to the UE prior to the start of time period T2.Note 3:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.Note 4:RSRP, CSI-RSRP, SCH_RP and Io levels have been derived from other parameters for information purposes. They are not settable parameters themselves.",,,,,,
