Parameter,Unit,Value,Comment
E-UTRA RF Channel Number,,"1, 2",Two radio channels are used for this test
Active PCell,,Cell 1,Primary cell on RF channel number 1.
Configured deactivated LAA FS3 SCell,,Cell 2,Configured deactivated secondary cell on RF channel number 2.
CP length,,Normal,
DRX,,OFF,Continuous monitoring of primary cell
CQI/PMI periodicity and offset configuration index,,0,CQI reporting for SCell every second subframe
Discovery signal occasion duration,ms,1,As specified in IE MeasDS-Config in TS 36.331
SCell measurement cycle (measCycleSCell),ms,320,
DMTC period,ms,40,As specified in IE MeasDS-Config in TS 36.331
dmtc-PeriodOffset,,10,As specified in IE MeasDS-Config in TS 36.331
laa-SCellSubframeConfig,,00000000,No MBSFN subframe.
T1,s,7,During this time the PCell shall be known and the SCell configured and detected.
T2,s,> Tactivate_basic_FS3,"During this time the UE shall activate the SCell, Tactivate_basic_FS3 is specified in section 7.7.10."
T3,s,1,During this time the UE shall deactivate the SCell.
