Parameter,Unit,Cell 1,,Cell 2,,Cell 3,
,,T1,T2,T1,T2,T1,T2
E-UTRA RF Channel Number,,1,,2,,3,
BWchannel,MHz,10,,10,,10,
Correlation Matrix and Antenna Configuration,,1x2 Low,,1x2 Low,,1x2 Low,
OCNG Patterns defined in A.3.2.1.1 (OP.1 FDD) and in A.3.2.1.2 (OP.2  FDD),,OP.1 FDD,,OP.2 FDD,,OP.1 FDD,
PBCH_RA,dB,0,,0,,0,
PBCH_RB,dB,,,,,,
PSS_RA,dB,,,,,,
SSS_RA,dB,,,,,,
PCFICH_RB,dB,,,,,,
PHICH_RA,dB,,,,,,
PHICH_RB,dB,,,,,,
PDCCH_RA,dB,,,,,,
PDCCH_RB,dB,,,,,,
PDSCH_RA,dB,,,,,,
PDSCH_RB,dB,,,,,,
OCNG_RANote 1,dB,,,,,,
OCNG_RBNote 1,dB,,,,,,
Note 3,dBm/15 kHz,-98,,,,,
RSRP Note 4,dBm/15 kHz,-94,-94,-Infinity,-91,-94,-94
,dB,4,4,-Infinity,7,4,4
SCH_RP Note 4,dBm/15 kHz,-94,-94,-Infinity,-91,-94,-94
,dB,4,4,-Infinity,7,4,4
Propagation Condition,,ETU70,,,,,
Note 1:OCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.Note 2:The resources for uplink transmission are assigned to the UE prior to the start of time period T2.Note 3:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.Note 4:RSRP and SCH_RP levels have been derived from other parameters for information purposes. They are not settable parameters themselves.,,,,,,,
