Parameter,Unit,Combination,Cell 1,,Cell 3,,
,,,T1,T2,T1,T2,
E-UTRA RF Channel Number,,All,1,,2,,
BWchannel,,20MHz+10MHz,20,,10,,
,,10MHz+20MHz,10,,20,,
Correlation Matrix and Antenna Configuration,,All,1x2 Low,,1x2 Low,,
PDSCH Reference measurement channel defined in A.3.1.1.2,,20MHz+10MHz,R.3 TDD,,R.0 TDD,,
,,10MHz+20MHz,R.0 TDD,,R.3 TDD,,
PDCCH/PCFICH/PHICH Reference measurement channel defined in A.3.1.2.2,,20MHz+10MHz,R.10 TDD,,R.6 TDD,,
,,10MHz+20MHz,R.6 TDD,,R.10 TDD,,
OCNG Pattern defined in A.3.2.2,,20MHz+10MHz,OP.7 TDD,,OP.1 TDD,,
,,10MHz+20MHz,OP.1 TDD,,OP.7 TDD,,
PBCH_RA,dB,All,0,0,0,0,
PBCH_RB,dB,,,,,,
PSS_RA,dB,,,,,,
SSS_RA,dB,,,,,,
PCFICH_RB,dB,,,,,,
PHICH_RA,dB,,,,,,
PHICH_RB,dB,,,,,,
PDCCH_RA,dB,,,,,,
PDCCH_RB,dB,,,,,,
PDSCH_RA,dB,,,,,,
PDSCH_RB,dB,,,,,,
OCNG_RANote1,dB,,,,,,
OCNG_RBNote1,dB,,,,,,
,dB,All,9,9,9,,9
,dB,All,9,9,9,,9
,dBm/15kHz,All,-98,,,,
RSRP,dBm/15kHz,All,-89,-89,-89,,-89
SCH_RP,dBm/15kHz,All,-89,-89,-89,,-89
Propagation Condition,,All,ETU70,,,,
Note 1:OCNG shall be used such that cell is fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.Note 2:The resources for uplink transmission are assigned to the UE prior to the start of time period T2.,,,,,,,
