Parameter,Unit,Value,Comment
E-UTRA RF Channel Number,,"1, 2, 3",Three radio channels are used for this test
Active PCell,,Cell 1,Primary cell on RF channel number 1.
Active SCell,,Cell 2,Configured activated secondary cell on RF channel number 2.
Neighbour cell,,Cell 3,Neighbor cell to be identified on RF channel number 2.
Active SCell,,Cell 4,Configured activated secondary cell on RF channel number 3.
DMTC period,ms,40,"Applies for cell 2,3 and 4 as specified in IE MeasDS-Config in TS 36.331"
dmtc-PeriodOffset,ms,10,"Applies for cell 2,3 and 4 as specified in IE MeasDS-Config in TS 36.331"
Discovery signal occasion duration,ms,1,"Applies for cell 2,3 and 4 as specified in IE MeasDS-Config in TS 36.331"
LBT modelling,,,Not applied for any cell in the test
CP length,,Normal,
A6-Offset,dB,-6,
Time To Trigger,s,0,
Filter coefficient,,0,L3 filtering is not used
DRX,,OFF,
T1,s,5,
T2,s,5,
