Parameter,,Unit,Value,Comment
NB-IOT operational mode,,,standalone,
Initial condition,Active cell,,nCell1,
,Neighbour cells,,nCell2,
Final condition,Active cell,,nCell2,
Access Barring Information,,-,Not Sent,No additional delays in random access procedure.
NPRACH Configuration,,,NPRACH.R-1,Refer to A.3.18
NPDCCH repetition level,,,8,NPDCCH Rmax
N310,,-,1,Maximum consecutive out-of-sync indications from lower layers
N311,,-,1,Minimum consecutive in-sync indications from lower layers
T310,,ms,0,Radio link failure timer; T310 is disabled
T311-v13xy,,ms,15000,RRC re-establishment timer
DRX,,,OFF,
T1,,ms,5000,
T2,,ms,900,
T3,,ms,3100,
T4,,ms,500,
T5,,ms,8520,
s-MeasureIntra,,dBm,-95,
s-MeasureDeltaP,,dB,6,
t-MeasureDeltaP,,s,60,
