Parameter,Unit,Cell 1,,Cell 2,
,,T1,T2,T1,T2
E-UTRA RF Channel Number,,1,,,
BWchannel,MHz,10,,,
PDSCH parameters:DL Reference Measurement Channel,,R.13 HD-FDD,,-,
MPDCCH parameters:DL Reference Measurement Channel,,R.9 HD-FDD,,R.9HD-FDD,
OCNG Patterns,,OP.21 FDD,,OP.6 FDD,
PBCH_RA,dB,-3,,-3,
PBCH_RB,dB,,,,
PSS_RA,dB,,,,
SSS_RA,dB,,,,
PCFICH_RB,dB,,,,
PHICH_RA,dB,,,,
PHICH_RB,dB,,,,
MPDCCH_RA,dB,,,,
MPDCCH_PB,dB,,,,
PDSCH_RA,dB,,,,
PDSCH_RB,dB,,,,
OCNG_RANote 1,dB,,,,
OCNG_RBNote 1,dB,,,,
NocNote 2,dBm/15 kHz,-98,,,
Ês/Noc,dB,-12,-12,-infinity,-12
Ês/Iot Note 3,dB,-12,-12.27,-infinity,-12.27
RSRP Note 3,dBm/15 kHz,-110,-110,-infinity,-110
SCH_RP Note 3,dBm/15 kHz,-110,-110,-infinity,-110
Io Note 3,dBm/9MHz,-69.95,-69.70,Specified inCell 1 columns,
Propagation Condition,,ETU30,,ETU30,
Correlation Matrix and Antenna Configuration,,2x1 Low,,2x1 Low,
Timing offset to Cell 1,ms,-,,3,
"Note 1:OCNG shall be used such that all cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.Note 2:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for Noc to be fulfilled.Note 3:Es/Iot, RSRP, SCH_RP and Io have been derived from other parameters for information purposes. They are not settable parameters themselves.Note 4:The resources for uplink transmission are assigned to the UE prior to the start of time period T2.",,,,,
