Parameter,Unit,Test 1,Comment
,,Value,
E-UTRA RF Channel Number,,"1, 2",Two TDD carrier frequencies are used.
Channel Bandwidth (BWchannel),MHz,10,
Active cell,,Cell 1,Cell 1 is on RF channel number 1
Neighbour cell,,Cell 2,Cell 2 is on RF channel number 2
Gap Pattern Id,,0,As specified in TS 36.133 clause 8.1.2.1.
Gap Offset,,9,As specified in TS 36.331 clause 6.3.5
Uplink-downlink configuration,,1,As specified in TS 36.211 clause 4.2 Table 4.2-2
Special subframe configuration,,6,As specified in table 4.2-1 in TS 36.211. The same configuration in both cells
DMTC period [2],ms,160,
DMTC period offset [2],ms,10,
Discovery signal occasion duration,ms,2,
C1 Threshold,dB,-96,
Hysteresis,dB,0,
CP length,,Normal,
TimeToTrigger,s,0,
Filter coefficient,,0,L3 filtering is not used
PRACH configuration,,4,As specified in table 5.7.1-3 in TS 36.211
Access Barring Information,-,Not Sent,No additional delays in random access procedure.
DRX,,ON,DRX related parameters are defined in Table A.8.22.8.1-3
T1,s,5,
T2,s,10,
