Parameter,Unit,Value,Comment
PDSCH parameters,,DL Reference Measurement Channel R.0 TDD,As specified in section A.3.1.1.2
PCFICH/PDCCH/PHICH parameters,,DL Reference Measurement Channel R.6 TDD,As specified in section A.3.1.2.2
E-UTRA RF Channel Number,,"1, 2",Two radio channels are used for this test
Active PCell,,Cell 1,Primary cell on RF channel number 1.
Configured deactivated SCell,,Cell 2,Configured deactivated secondary cell on RF channel number 2.
Channel Bandwidth (BWchannel),MHz,10,Channel bandwidth for cells on primary and secondary component carriers
CP length,,Normal,
Special subframe configuration,,6,As specified in table 4.2.1 in TS 36.211. The same configuration applies to all cells.
Uplink-downlink configuration,,1,
DRX,,OFF,Continuous monitoring of primary cell
CQI/PMI periodicity and offset configuration index,,0,CQI reporting for SCell every UL subframe
SCell measurement cycle (measCycleSCell),ms,320,
Cell2 timing offset to cell1,s,0,
Time alignment error between cell2 and cell1,s,Time alignment error as specified in 3GPP TS 36.104 [30] clause 6.5.3.1.,The value of time alignment error depends upon the type of carrier aggregation.
Cell3 timing offset to cell1,s,3,Synchronous cells
T1,ms,100,"During this time the PCell shall be known and the SCell configured, but not dectected."
T2,s,1,During this time the UE shall activate the SCell.
T3,s,1,During this time the UE shall deactivate the SCell.
Note:This test verifies the RRM requirement which is independent of channel bandwidth and is performed according to the principle defined in section A.3.6.1.,,,
