Parameter,Unit,Cell 1,Cell 2
,,T3,T3
E-UTRA RF Channel Number,MHz,1,2
BWchannel,MHz,"5MHz, NRB,c = 2510MHz, NRB,c = 5020MHz, NRB,c = 100","5MHz, NRB,c = 2510MHz, NRB,c = 5020MHz, NRB,c = 100"
OCNG Patterns defined in A.3.2.1.2 (OP.2 FDD),,5MHz: OP.15 FDD10MHz: OP.1 FDD20MHz: OP.11 FDD5MHz: OP.9 TDD10MHz: OP.1 TDD20MHz: OP.7 TDD,5MHz: OP.15 FDD10MHz: OP.1 FDD20MHz: OP.11 FDD5MHz: OP.9 TDD10MHz: OP.1 TDD20MHz: OP.7 TDD
PBCH_RA,dB,0,0
PBCH_RB,,,
PSS_RA,,,
SSS_RA,,,
PCFICH_RB,,,
PHICH_RA,,,
PHICH_RB,,,
PDCCH_RA,,,
PDCCH_RB,,,
PDSCH_RA,,,
PDSCH_RB,,,
OCNG_RANote 1,,,
OCNG_RBNote 1,,,
Qrxlevmin,dBm,-140,-140
Pcompensation,dB,0,0
Qhysts,dB,0,0
"Qoffsets, n",dB,0,0
Cell_selection_and_reselection_quality_measurement,,RSRP,RSRP
Note2,dBm/15 kHz,-98,
,dB,16,14
,dB,16,14
RSRP Note3,dBm/15 kHz,-82,-84
Treselection,s,0,0
Reselection offset,dB,0,0
Sintrasearch,dB,Not sent,Not sent
SnonIntraSearchP,dB,50,Not sent
SnonIntraSearchQ,dB,Not sent,Not sent
Propagation Condition,,AWGN,
Note 1:OCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.Note 2:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.Note 3:RSRP levels have been derived from other parameters for information purposes. They are not settable parameters themselves.,,,
