Parameter,,Unit,Value,Comment
E-UTRA RF Channel Number,,,"1, 2, 3, 4, 5",Four radio channels are used for this test
Active PCell,,,Cell 1,Primary cell on RF channel number 1.
Configured deactivated SCell,,,Cell 2,Configured deactivated secondary cell on RF channel number 2.
Configured deactivated SCell,,,Cell 3,Configured deactivated secondary cell on RF channel number 3.
Configured deactivated SCell,,,Cell 4,Configured deactivated secondary cell on RF channel number 4.
Configured deactivated SCell,,,Cell 5,Configured deactivated secondary cell on RF channel number 5.
Neighbour cell,,,Cell 6,Neighbor cell to be identified on RF channel number 5.
CP length,,,Normal,
Special subframe configuration,,,6,"As specified in table 4.2-1 in TS 36.211. The same configuration applies to all TDD cells (cell2, cell3, cell4, cell5 and cell6)."
Uplink-downlink configuration,,,1,"As specified in table 4.2-2 in TS 36.211. The same configuration applies to all TDD cells (cell2, cell3, cell4, cell5 and cell6)."
DRX,,,OFF,Continuous monitoring of primary cell
A6,Hysteresis,dB,0,Hysteresis for evaluation of event A6.
,Offset,dB,-3,Offset parameter for evaluation of event A6. Needs to take relative accuracy tolerance in clause 9.1.11.2 into account plus margin.
,Report on leave,,False,
,Time To Trigger,s,0,
Cell-individual offset for cells on RF channel number 1,,dB,0,Individual offset for cells on primary component carrier.
Cell-individual offset for cells on RF channel number 2,,dB,0,Individual offset for cells on secondary component carrier.
Cell-individual offset for cells on RF channel number 3,,dB,0,Individual offset for cells on secondary component carrier.
Cell-individual offset for cells on RF channel number 4,,dB,0,Individual offset for cells on secondary component carrier.
Cell-individual offset for cells on RF channel number 5,,dB,0,Individual offset for cells on secondary component carrier.
Filter coefficient,,,0,L3 filtering is not used
SCell measurement cycle,,ms,640,
T1,,s,4,"During this time the UE shall be aware of cells 1, 2, 3, 4 and 5 but not cell 6."
T2,,s,≤15,UE should report Event A6 within 12.8s (20×scellMeasCycle)
T3,,s,4,During this time the UE shall activate cell 2
T4,,s,≤4,UE should report Event A6 within 3.2s (5×scellMeasCycle)
