Parameter,Unit,Value,Comment
E-UTRA RF Channel Number,,"1, 2",Two FDD carrier frequencies are used.
Active cell,,Cell 1,Cell 1 is on RF channel number 1
Neighbour cell,,Cell 2,Cell 1 is on RF channel number 2
Gap Pattern Id,,0,As specified in TS 36.133 clause 8.1.2.1.
Gap Offset,,9,As specified in TS 36.331 clause 6.3.5
DMTC period,ms,160,As specified in IE MeasDS-Config in TS 36.331
dmtc-PeriodOffset,ms,10,As specified in IE MeasDS-Config in TS 36.331
Discovery signal occasion duration,ms,1,As specified in IE MeasDS-Config in TS 36.331
A3-Offset,dB,-6,
Hysteresis,dB,0,
CP length,,Normal,
Time To Trigger,s,0,
Filter coefficient,,0,L3 filtering is not used
PRACH configuration,,4,As specified in table 5.7.1-2 in TS 36.211
Access Barring Information,-,Not Sent,No additional delays in random access procedure.
DRX,,ON,DRX related parameters are defined in Table A.8.22.3.1-3
T1,s,5,
T2,s,10,
