Parameter,Unit,Value,Comment
Reference cell,,Cell 1,"Reference cell is the cell in the OTDOA assistance data with respect to which the RSTD measurement is defined, as specified in TS 36.214 [4] and TS 36.355 [24]. The reference cell is the PCell in this test case."
Neighbor cells,,Cell 2 and Cell 3,"Cell 2 and Cell 3 appear at random places in the neighbour cell list in the OTDOA assistance data, but Cell 2 always appears in the first half of the list, whilst Cell 3 appears in the second half of the list."
PCFICH/PDCCH/PHICH parameters,,DL Reference Measurement Channel R.6 FDD,As specified in clause A.3.1.2.1
Channel Bandwidth (BWchannel),MHz,10,
PRS Transmission Bandwidth,RB,50,PRS are transmitted over the system bandwidth
PRS configuration index,,171,"This corresponds to periodicity of 320 ms and PRS subframe offset of  DL subframes, as defined in TS 36.211 [16], Table 6.10.4.3-1"
Number of consecutive downlink positioning subframes,,1,As defined in TS 36.211 [16]. The number of subframes in a positioning occasion
Physical cell ID PCI,,(PCI of Cell 1 – PCI of Cell 2)mod6=0and(PCI of Cell 1 – PCI of Cell 3)mod6=0,The cell PCIs are selected such that the relative shifts of PRS patterns among cells are as given by the test parameters
CP length,,Normal,
DRX,,ON,DRX parameters are further specified in Table A.8.12.1.1-3
Radio frame receive time offset between the cells at the UE antenna connector,s,Cell 2 to Cell 1: 1Cell 3 to Cell 1: -1,PRS are transmitted from synchronous cells
Expected RSTD,s,Cell 2: 3 Cell 3: 3Other neighbour cells: randomly between -3 and 3,The expected RSTD is what is expected at the receiver. The corresponding parameter in the OTDOA assistance data specified in TS 36.355 [24] is the expectedRSTD indicator
Expected RSTD uncertainty for all neighbour cells,s,5,The corresponding parameter in the OTDOA assistance data specified in TS 36.355 [24] is the expectedRSTD-Uncertainty index
Number of cells provided in OTDOA assistance data,,16,Including the reference cell
PRS muting info,,Cell 1: ‘11110000’Cell 2: ‘00001111’Cell 3: ‘11110000’,Correponds to prs-MutingInfo defined in TS 36.355 [24]
T1,s,3,The length of the time interval from the beginning of each test
T2,s,1.28,The length of the time interval that follows immediately after time interval T1
T3,s,1.28,The length of the time interval that follows immediately after time interval T2
