Parameter,Unit,Cell 1,,,Cell 2,,,Cell 3,,
,,T1,T2,T3,T1,T2,T3,T1,T2,T3
E-UTRA RF Channel Number,,1,,,2,,,3,,
BWchannel,,"5MHz: NRB,c = 2510MHz: NRB,c = 5020MHz: NRB,c = 100",,,"5MHz: NRB,c = 2510MHz: NRB,c = 5020MHz: NRB,c = 100",,,"5MHz: NRB,c = 2510MHz: NRB,c = 5020MHz: NRB,c = 100",,
PDSCH parameters:DL Reference Measurement Channel,,5MHz: R.7 FDD 10MHz: R.3 FDD20MHz: R.6 FDD,,,5MHz: R.7 FDD 10MHz: R.3 FDD20MHz: R.6 FDD,,,N/A,,
PCFICH/PDCCH/PHICH parameters:DL Reference Measurement Channel,,5MHz: R.11 FDD 10MHz: R.6 FDD20MHz: R.10 FDD,,,5MHz: R.11 FDD 10MHz: R.6 FDD20MHz: R.10 FDD,,,5MHz: R.11 FDD 10MHz: R.6 FDD20MHz: R.10 FDD,,
OCNG Patterns,,5MHz: OP.20 FDD 10MHz: OP.10 FDD20MHz: OP.17 FDD,,,5MHz: OP.20 FDD 10MHz: OP.10 FDD20MHz: OP.17 FDD,,,5MHz: OP.16 FDD 10MHz: OP.2 FDD20MHz: OP.12 FDD,,
PBCH_RA,dB,0,,,0,,,0,,
PBCH_RB,dB,,,,,,,,,
PSS_RA,dB,,,,,,,,,
SSS_RA,dB,,,,,,,,,
PCFICH_RB,dB,,,,,,,,,
PHICH_RA,dB,,,,,,,,,
PHICH_RB,dB,,,,,,,,,
PDCCH_RA,dB,,,,,,,,,
PDCCH_RB,dB,,,,,,,,,
PDSCH_RA,dB,,,,,,,,,
PDSCH_RB,dB,,,,,,,,,
OCNG_RANote 1,dB,,,,,,,,,
OCNG_RBNote 1,dB,,,,,,,,,
NocNote 2,dBm/15 kHz,-104,,,-104,,,-104,,
Ês/Noc,dB,17,,,17,,,17,,
Ês/Iot Note 3,dB,17,,,17,,,17,,
RSRP Note 3,dBm/15 kHz,-87,,,-87,,,-87,,
SCH_RP Note 3,dBm/15 kHz,-87,,,-87,,,-87,,
Io Note 3,dBm/Ch BW,"-59.13+10log(NRB,c /50)",,,"-59.13+10log(NRB,c /50)",,,"-59.13+10log(NRB,c /50)",,
Propagation Condition,,AWGN,,,AWGN,,,AWGN,,
Antenna Configuration,,1x2,,,1x2,,,1x2,,
Receive timing offset to Cell1 Note 5,s,-,,,33,,,≤ TAE,,
Receive timing offset to Cell2 Note 5,s,-,,,-,,,33,,
"Note 1:OCNG shall be used such that all cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.Note 2:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for Noc to be fulfilled.Note 3:Es/Iot, RSRP, SCH_RP and Io have been derived from other parameters for information purposes. They are not settable parameters themselves.Note 4:The uplink resources for CSI reporting are assigned to the UE prior to the start of time period T2.Note 5:Receive time difference between subframe boundaries of signals received from the two cells at the UE antenna connector including time alignment error between the two cells.",,,,,,,,,,
