Parameter,,Unit,Value,Comment
E-UTRA RF Channel Number,,,"1, 2",One TDD carrier frequency is used for active cell and one FS3 carrier frequency is used for neighbour cell.
Active cell,,,Cell 1,Cell 1 is on RF channel number 1
Neighbour cell,,,Cell 2,Cell 2 is on RF channel number 2
DMTC period,,,40,As specified in IE MeasDS-Config in TS 36.331
dmtc-PeriodOffset,,,10,As specified in IE MeasDS-Config in TS 36.331
Discovery signal occasion duration,,,1,As specified in IE MeasDS-Config in TS 36.331
Gap Pattern Id,,,0,As specified in TS 36.133 clause 8.1.2.1.
Gap Offset,,,8,As specified in IE MeasGapConfig in TS 36.331
A4,Hysteresis,dB,0,Hysteresis for evaluation of event A4.
,Threshold RSRP,dBm,-105,Actual RSRP threshold for event A4. Needs to take absolute accuracy tolerance in section 9.1.11.1 into account plus margin.
,Time To Trigger,s,0,
CP length,,,Normal,
TimeToTrigger,,s,0,
Filter coefficient,,,0,L3 filtering is not used
DRX,,,OFF,OFF
Time offset between cells,,,0 ms,Synchronous cells
T1,,s,5,
T2,,s,1,
