Parameter,Unit,Combination,Cell 1,,Cell 2,,Cell 3,,
,,,T1,T2,T1,T2,T1,,T2
E-UTRA RF Channel Number,,All,1,,2,,2,,
BWchannel,,20MHz+10MHz,"20MHz: NRB,c = 100",,"10MHz: NRB,c = 50",,"10MHz: NRB,c = 50",,
,,10MHz+20MHz,"10MHz: NRB,c = 50",,"20MHz: NRB,c = 100",,"20MHz: NRB,c = 100",,
PDSCH Reference measurement channel defined in A.3.1.1.2,,20MHz+10MHz,R.3 TDD,,N/A,,N/A,,
,,10MHz+20MHz,R.0 TDD,,N/A,,N/A,,
PDCCH/PCFICH/PHICH Reference measurement channel defined in A.3.1.2.2,,20MHz+10MHz,R.10 TDD,,R.6 TDD,,R.6 TDD,,
,,10MHz+20MHz,R.6 TDD,,R.10 TDD,,R.10 TDD,,
OCNG Pattern defined in A.3.2.2,,20MHz+10MHz,OP.7 TDD,,OP.2 TDD,,OP.2 TDD,,
,,10MHz+20MHz,OP.1 TDD,,OP.8 TDD,,OP.8 TDD,,
PBCH_RA,dB,All,0,,0,,0,,
PBCH_RB,dB,,,,,,,,
PSS_RA,dB,,,,,,,,
SSS_RA,dB,,,,,,,,
PCFICH_RB,dB,,,,,,,,
PHICH_RA,dB,,,,,,,,
PHICH_RB,dB,,,,,,,,
PDCCH_RA,dB,,,,,,,,
PDCCH_RB,dB,,,,,,,,
PDSCH_RA,dB,,,,,,,,
PDSCH_RB,dB,,,,,,,,
OCNG_RANote 1,dB,,,,,,,,
OCNG_RBNote 1,dB,,,,,,,,
Note 3,dBm/15 kHz,All,-101,,-101,,,,
RSRP Note 4,dBm/15 kHz,All,-85,-85,-85,-85,-Infinity,,-85
,dB,All,16,16,16,-0.11,-Infinity,,-0.11
SCH_RP Note 4,dBm/15 kHz,All,-85,-85,-85,-85,-Infinity,,-85
,dB,All,16,16,16,16,-Infinity,,16
Propagation Condition,,All,AWGN,,AWGN,,,AWGN,
Note 1:OCNG shall be used such that all cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.Note 2:The resources for uplink transmission are assigned to the UE prior to the start of time period T2.Note 3:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.Note 4:RSRP and SCH_RP levels have been derived from other parameters for information purposes. They are not settable parameters themselves.,,,,,,,,,
